"model","Label","Value","StdDev","(Val-1.0)/Stddev","CumNorm","year","lo","hi"
"base","SPRratio_1994",0.451333,0.0419838,-13.0685,2.58416e-39,1994,0.369046264065867,0.533619735934133
"base","SPRratio_1995",0.419281,0.0353322,-16.436,5.5924e-61,1995,0.350031160505434,0.488530839494566
"base","SPRratio_1996",0.493565,0.0368114,-13.7575,2.38977e-43,1996,0.421415981779502,0.565714018220498
"base","SPRratio_1997",0.584097,0.0389672,-10.6732,6.95565e-27,1997,0.507722691421631,0.660471308578369
"base","SPRratio_1998",0.530329,0.03736,-12.5715,1.56653e-36,1998,0.457104745537584,0.603553254462416
"base","SPRratio_1999",0.701502,0.0473261,-6.30727,1.42623e-10,1999,0.608744548471259,0.794259451528741
"base","SPRratio_2000",0.533843,0.0393287,-11.8529,1.07126e-32,2000,0.45676016444122,0.61092583555878
"base","SPRratio_2001",0.569411,0.0411616,-10.4609,6.67272e-26,2001,0.488735746453956,0.650086253546044
"base","SPRratio_2002",0.624611,0.0361868,-10.3737,1.66929e-25,2002,0.553686175284246,0.695535824715754
"base","SPRratio_2003",0.617791,0.0349716,-10.9291,4.28765e-28,2003,0.549247923518259,0.686334076481741
"base","SPRratio_2004",0.703945,0.0408177,-7.25311,2.05154e-13,2004,0.62394377806824,0.783946221931761
"base","SPRratio_2005",0.55991,0.0395432,-11.1293,4.63217e-29,2005,0.482406752166536,0.637413247833464
"base","SPRratio_2006",0.563782,0.0413347,-10.5533,2.50786e-26,2006,0.482767476688232,0.644796523311768
"base","SPRratio_2007",0.647271,0.0402887,-8.75504,1.03401e-18,2007,0.568306599016061,0.726235400983939
"base","SPRratio_2008",0.510682,0.0378601,-12.9244,1.69957e-38,2008,0.436477567548915,0.584886432451085
"base","SPRratio_2009",0.620272,0.0412023,-9.21619,1.56351e-20,2009,0.539516975919785,0.701027024080215
"base","SPRratio_2010",0.55854,0.0402802,-10.9597,3.05814e-28,2010,0.47959225870993,0.63748774129007
"base","SPRratio_2011",0.574058,0.0404975,-10.5177,3.65929e-26,2011,0.494684358536089,0.653431641463911
"base","SPRratio_2012",0.612815,0.0405207,-9.55524,6.27274e-22,2012,0.533395887371648,0.692234112628352
"base","SPRratio_2013",0.603591,0.0397901,-9.96249,1.13388e-23,2013,0.525603837058753,0.681578162941247
"base","SPRratio_2014",0.595815,0.0384548,-10.5107,3.94389e-26,2014,0.520444976967309,0.671185023032691
"base","SPRratio_2015",0.600644,0.0403896,-9.88758,2.40147e-23,2015,0.521481838650021,0.679806161349979
"base","SPRratio_2016",0.562718,0.0422909,-10.3399,2.37616e-25,2016,0.479829359126215,0.645606640873785
"base","SPRratio_2017",0.5872,0.0459232,-8.98893,1.26657e-19,2017,0.49719218194517,0.67720781805483
"base","SPRratio_2018",0.575205,0.0519328,-8.17971,1.43834e-16,2018,0.473418582383678,0.676991417616322
"base","SPRratio_2019",0.415179,0.0442232,-13.2243,3.29857e-40,2019,0.328503120718888,0.501854879281112
"base","SPRratio_2020",0.496439,0.0485787,-10.3659,1.81062e-25,2020,0.401226497584224,0.591651502415776
"base","SPRratio_2021",0.387309,0.0450705,-13.594,2.26024e-42,2021,0.298972443234787,0.475645556765212
"base","SPRratio_2022",0.316518,0.0427399,-15.9917,7.70878e-58,2022,0.232749335297157,0.400286664702843
"base","SPRratio_2023",0.329221,0.0434968,-15.4213,6.18866e-54,2023,0.243968838557258,0.414473161442742
"base","SPRratio_2024",0.279745,0.0390363,-18.4509,2.7446e-76,2024,0.203235257910299,0.356254742089701
