"type","Fleet","Fleet_Name","Yr","Seas","Nsamp_in","Nsamp_adj","effN"
"base",1,"F1_JPLL_A13_Q1_wt",1994,1,90.54,24.9184,25.2805
"base",1,"F1_JPLL_A13_Q1_wt",1995,1,1.04,0.286229,4.28678
"base",1,"F1_JPLL_A13_Q1_wt",1996,1,92.13,25.356,14.9895
"base",1,"F1_JPLL_A13_Q1_wt",1997,1,113.56,31.254,52.1574
"base",1,"F1_JPLL_A13_Q1_wt",1998,1,121.3,33.3842,102.617
"base",1,"F1_JPLL_A13_Q1_wt",1999,1,19.47,5.35853,16.4487
"base",1,"F1_JPLL_A13_Q1_wt",2000,1,83.39,22.9506,222.49
"base",1,"F1_JPLL_A13_Q1_wt",2001,1,151.26,41.6298,126.658
"base",1,"F1_JPLL_A13_Q1_wt",2002,1,391.14,107.65,307.196
"base",1,"F1_JPLL_A13_Q1_wt",2003,1,232.32,63.9391,162.194
"base",1,"F1_JPLL_A13_Q1_wt",2004,1,246.15,67.7454,80.503
"base",1,"F1_JPLL_A13_Q1_wt",2005,1,342.26,94.1968,82.4922
"base",1,"F1_JPLL_A13_Q1_wt",2006,1,283.38,77.9918,250.767
"base",1,"F1_JPLL_A13_Q1_wt",2007,1,201.49,55.4541,264.592
"base",1,"F1_JPLL_A13_Q1_wt",2008,1,291.31,80.1743,107.571
"base",1,"F1_JPLL_A13_Q1_wt",2009,1,270.37,74.4112,499.895
"base",1,"F1_JPLL_A13_Q1_wt",2010,1,232.98,64.1208,395.973
"base",1,"F1_JPLL_A13_Q1_wt",2011,1,261.75,72.0388,448.302
"base",1,"F1_JPLL_A13_Q1_wt",2012,1,298.33,82.1064,257.735
"base",1,"F1_JPLL_A13_Q1_wt",2013,1,138.71,38.1758,202.924
"base",1,"F1_JPLL_A13_Q1_wt",2014,1,164.52,45.2792,53.8683
"base",1,"F1_JPLL_A13_Q1_wt",2015,1,253.56,69.7848,217.624
"base",1,"F1_JPLL_A13_Q1_wt",2016,1,246.7,67.8968,200.948
"base",1,"F1_JPLL_A13_Q1_wt",2017,1,199.39,54.8761,195.333
"base",1,"F1_JPLL_A13_Q1_wt",2018,1,146.91,40.4326,91.7141
"base",1,"F1_JPLL_A13_Q1_wt",2019,1,132.24,36.3951,70.26
"base",1,"F1_JPLL_A13_Q1_wt",2020,1,152.93,42.0894,176.215
"base",1,"F1_JPLL_A13_Q1_wt",2021,1,184.29,50.7203,64.3384
"base",1,"F1_JPLL_A13_Q1_wt",2022,1,191.86,52.8037,41.3058
"base",1,"F1_JPLL_A13_Q1_wt",2023,1,196.68,54.1303,360.635
