"Fleet","Fleet_Name","Yr","Seas","base2023","base2026"
1,"F1_JPLL_A13_Q1_J_wt_9621",1996,1,11.511,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",1997,1,39.123,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",1998,1,51.09,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",1999,1,18.078,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2000,1,85.552,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2001,1,34.232,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2002,1,125.385,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2003,1,164.835,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2004,1,37.577,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2005,1,43.655,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2006,1,100.928,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2007,1,129.118,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2008,1,24.626,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2009,1,96.042,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2010,1,87.135,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2011,1,193.442,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2012,1,79.198,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2013,1,103.982,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2014,1,33,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2015,1,41.922,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2016,1,54.428,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2017,1,54.517,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2018,1,52.399,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2019,1,29.383,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2020,1,138.192,NA
1,"F1_JPLL_A13_Q1_J_wt_9621",2021,1,6.554,NA
1,"F1_JPLL_A13_Q1_wt",1994,1,NA,25.28
1,"F1_JPLL_A13_Q1_wt",1995,1,NA,4.287
1,"F1_JPLL_A13_Q1_wt",1996,1,NA,14.989
1,"F1_JPLL_A13_Q1_wt",1997,1,NA,52.157
1,"F1_JPLL_A13_Q1_wt",1998,1,NA,102.617
1,"F1_JPLL_A13_Q1_wt",1999,1,NA,16.449
1,"F1_JPLL_A13_Q1_wt",2000,1,NA,222.49
1,"F1_JPLL_A13_Q1_wt",2001,1,NA,126.658
1,"F1_JPLL_A13_Q1_wt",2002,1,NA,307.196
1,"F1_JPLL_A13_Q1_wt",2003,1,NA,162.194
1,"F1_JPLL_A13_Q1_wt",2004,1,NA,80.503
1,"F1_JPLL_A13_Q1_wt",2005,1,NA,82.492
1,"F1_JPLL_A13_Q1_wt",2006,1,NA,250.767
1,"F1_JPLL_A13_Q1_wt",2007,1,NA,264.592
1,"F1_JPLL_A13_Q1_wt",2008,1,NA,107.571
1,"F1_JPLL_A13_Q1_wt",2009,1,NA,499.895
1,"F1_JPLL_A13_Q1_wt",2010,1,NA,395.973
1,"F1_JPLL_A13_Q1_wt",2011,1,NA,448.302
1,"F1_JPLL_A13_Q1_wt",2012,1,NA,257.735
