"Fleet","Fleet_Name","base2023","base2026"
1,"F1_JPLL_A13_Q1_J_wt_9621",70.612,NA
1,"F1_JPLL_A13_Q1_wt",NA,165.829
2,"F2_JPLL_A13_Q1_A_wt",92.042,NA
2,"F2_JPLL_A13_Q2_wt",NA,59.73
3,"F3_JPLL_A13_Q2_wt",76.427,NA
3,"F3_JPLL_A13_Q3_wt",NA,23.979
4,"F4_JPLL_A13_Q3_wt",20.726,NA
4,"F4_JPLL_A13_Q4_wt",NA,111.985
5,"F5_JPLL_A13_Q4_wt",118.5,NA
9,"F9_JPLL_A2_Q1_wt",NA,146.819
10,"F10_JPLL_A2_Q2_wt_9624",NA,158.783
11,"F11_JPLL_A2_Q1_wt_9621",114.947,NA
11,"F11_JPLL_A2_Q3_wt",NA,181.381
12,"F12_JPLL_A2_Q2_wt_9621",157.375,NA
12,"F12_JPLL_A2_Q4_wt",NA,116.107
13,"F13_JPLL_A2_Q3_wt",186.012,NA
14,"F14_JPLL_A2_Q4_wt",109.247,NA
17,"F17_JPLL_A4_num",NA,75.168
18,"F18_JPLL_A5_num",NA,45.938
19,"F19_JPLL_A4_num",85.313,NA
19,"F19_JPPL_A35_Q1",NA,19.028
20,"F20_JPLL_A5_num",47.956,NA
20,"F20_JPPL_A35_Q2",NA,34.182
21,"F21_JPPL_A35_Q1",17.433,NA
21,"F21_JPPL_A35_Q3",NA,18.029
22,"F22_JPPL_A35_Q2_9421",57.441,NA
22,"F22_JPPL_A35_Q4",NA,10.423
23,"F23_JPPL_A24",NA,13.388
23,"F23_JPPL_A35_Q3",17.563,NA
24,"F24_JPPL_A35_Q4",8.617,NA
24,"F24_USLL_A35",NA,36.581
25,"F25_JPPL_A24",48.153,NA
25,"F25_USLL_A24",NA,63.198
26,"F26_TWLL_A35",NA,63.064
26,"F26_USLL_A35",54.916,NA
27,"F27_USLL_A24",100.995,NA
28,"F28_TWLL_A35",69.671,NA
29,"F29_CNLL_A35",NA,122.014
30,"F30_CNLL_A24",NA,16.92
31,"F31_CNLL_A35",26.547,NA
31,"F31_VULL_mt",NA,33.296
32,"F32_CNLL_A24",18.791,NA
33,"F33_VUOTHLL",42.044,NA
34,"F34_EPOSF_9921",198.756,NA
34,"F34_EPOSF_xx24",NA,70.062
35,"F35_JPTWKR_DNMisc",NA,16.874
36,"S36_JPLL_idx_adult",NA,17.14
36,"S36_JPLL_RTV_A2",119.655,NA
37,"S37_JPLL_RTV_A4",24.013,NA
