"Fleet","Fleet_Name","Yr","Seas","base_F26","F1_F20","F20_F24","F20_F26","F26_F34"
1,"F1_JPLL_A13_Q1_wt",1994,1,25.28,24.936,25.356,25.201,25.281
1,"F1_JPLL_A13_Q1_wt",1995,1,4.287,4.309,4.293,4.284,4.287
1,"F1_JPLL_A13_Q1_wt",1996,1,14.989,14.891,14.941,15.008,14.989
1,"F1_JPLL_A13_Q1_wt",1997,1,52.157,52.931,52.303,51.836,52.151
1,"F1_JPLL_A13_Q1_wt",1998,1,102.617,101.644,101.432,103.109,102.653
1,"F1_JPLL_A13_Q1_wt",1999,1,16.449,16.542,16.409,16.476,16.446
1,"F1_JPLL_A13_Q1_wt",2000,1,222.49,220.274,223.291,222.334,222.486
1,"F1_JPLL_A13_Q1_wt",2001,1,126.658,126.855,126.08,126.813,126.663
1,"F1_JPLL_A13_Q1_wt",2002,1,307.196,305.525,304.48,308.02,307.199
1,"F1_JPLL_A13_Q1_wt",2003,1,162.194,162.176,162.828,161.923,162.117
1,"F1_JPLL_A13_Q1_wt",2004,1,80.503,80.638,80.619,80.489,80.5
1,"F1_JPLL_A13_Q1_wt",2005,1,82.492,82.575,82.664,82.376,82.496
1,"F1_JPLL_A13_Q1_wt",2006,1,250.767,250.11,250.268,250.697,250.743
1,"F1_JPLL_A13_Q1_wt",2007,1,264.592,265.513,265.54,264.195,264.542
1,"F1_JPLL_A13_Q1_wt",2008,1,107.571,107.525,107.664,107.593,107.579
1,"F1_JPLL_A13_Q1_wt",2009,1,499.895,500.796,497.619,500.73,499.83
1,"F1_JPLL_A13_Q1_wt",2010,1,395.973,397.479,398.241,395.341,395.999
1,"F1_JPLL_A13_Q1_wt",2011,1,448.302,448.016,448.083,447.736,448.381
1,"F1_JPLL_A13_Q1_wt",2012,1,257.735,257.9,257.61,257.845,257.732
1,"F1_JPLL_A13_Q1_wt",2013,1,202.924,203.085,204.625,202.366,202.895
1,"F1_JPLL_A13_Q1_wt",2014,1,53.868,53.869,54.028,53.813,53.866
1,"F1_JPLL_A13_Q1_wt",2015,1,217.624,217.246,217.77,217.479,217.609
1,"F1_JPLL_A13_Q1_wt",2016,1,200.948,200.684,200.908,201.021,200.951
1,"F1_JPLL_A13_Q1_wt",2017,1,195.333,194.748,195.088,195.487,195.327
1,"F1_JPLL_A13_Q1_wt",2018,1,91.714,91.719,91.552,91.801,91.715
1,"F1_JPLL_A13_Q1_wt",2019,1,70.26,70.383,70.32,70.255,70.26
1,"F1_JPLL_A13_Q1_wt",2020,1,176.215,176.072,177.4,175.593,176.206
1,"F1_JPLL_A13_Q1_wt",2021,1,64.338,64.307,64.359,64.325,64.34
1,"F1_JPLL_A13_Q1_wt",2022,1,41.306,41.329,41.343,41.29,41.305
1,"F1_JPLL_A13_Q1_wt",2023,1,360.635,361.34,360.489,360.786,360.646
1,"F1_JPLL_A13_Q1_wt",2024,1,43.402,43.326,43.413,43.379,43.402
2,"F2_JPLL_A13_Q2_wt",1996,2,12.227,11.959,12.115,12.307,12.223
2,"F2_JPLL_A13_Q2_wt",1997,2,54.674,55.421,55.95,54.082,54.63
2,"F2_JPLL_A13_Q2_wt",2000,2,7.87,7.869,7.889,7.861,7.87
2,"F2_JPLL_A13_Q2_wt",2001,2,61.528,61.523,59.211,62.379,61.545
2,"F2_JPLL_A13_Q2_wt",2002,2,27.537,27.537,27.573,27.499,27.55
2,"F2_JPLL_A13_Q2_wt",2003,2,52.742,52.736,52.495,52.929,52.812
2,"F2_JPLL_A13_Q2_wt",2004,2,24.405,24.423,24.657,24.327,24.412
2,"F2_JPLL_A13_Q2_wt",2005,2,28.877,28.888,29.164,28.756,28.884
2,"F2_JPLL_A13_Q2_wt",2006,2,88.302,88.329,88.018,88.466,88.272
2,"F2_JPLL_A13_Q2_wt",2007,2,251.599,251.423,255.52,249.49,251.383
2,"F2_JPLL_A13_Q2_wt",2008,2,51.672,51.661,51.786,51.65,51.668
2,"F2_JPLL_A13_Q2_wt",2009,2,90.203,90.143,88.654,90.81,90.191
2,"F2_JPLL_A13_Q2_wt",2010,2,101.309,101.304,102.158,101.208,101.349
2,"F2_JPLL_A13_Q2_wt",2011,2,47.518,47.523,47.172,47.734,47.533
2,"F2_JPLL_A13_Q2_wt",2012,2,98.333,98.351,98.862,98.101,98.339
2,"F2_JPLL_A13_Q2_wt",2013,2,91.104,91.116,91.272,91.01,91.099
2,"F2_JPLL_A13_Q2_wt",2014,2,56.067,56.077,56.545,55.838,56.063
2,"F2_JPLL_A13_Q2_wt",2015,2,54.985,55.011,55.278,54.793,54.985
2,"F2_JPLL_A13_Q2_wt",2016,2,34.08,34.088,34.295,33.963,34.079
2,"F2_JPLL_A13_Q2_wt",2017,2,62.936,62.928,63.173,62.881,62.932
2,"F2_JPLL_A13_Q2_wt",2018,2,26.012,26.011,26.201,25.932,26.011
2,"F2_JPLL_A13_Q2_wt",2019,2,47.399,47.38,47.305,47.403,47.405
2,"F2_JPLL_A13_Q2_wt",2020,2,157.238,157.274,157.719,157.111,157.246
2,"F2_JPLL_A13_Q2_wt",2021,2,10.697,10.696,10.783,10.66,10.697
2,"F2_JPLL_A13_Q2_wt",2022,2,5.867,5.868,5.87,5.869,5.867
2,"F2_JPLL_A13_Q2_wt",2023,2,48.065,48.036,47.713,48.191,48.065
2,"F2_JPLL_A13_Q2_wt",2024,2,19.469,19.455,19.439,19.493,19.469
3,"F3_JPLL_A13_Q3_wt",2000,3,45.609,45.627,43.49,46.589,45.621
3,"F3_JPLL_A13_Q3_wt",2001,3,11.52,11.519,11.552,11.503,11.52
3,"F3_JPLL_A13_Q3_wt",2002,3,25.655,25.657,25.663,25.608,25.66
3,"F3_JPLL_A13_Q3_wt",2003,3,10.091,10.093,10.152,10.048,10.088
3,"F3_JPLL_A13_Q3_wt",2004,3,8.061,8.063,8.09,8.051,8.059
3,"F3_JPLL_A13_Q3_wt",2005,3,34.101,34.072,32.809,34.644,34.107
3,"F3_JPLL_A13_Q3_wt",2006,3,16.585,16.564,15.828,16.925,16.589
3,"F3_JPLL_A13_Q3_wt",2007,3,26.654,26.625,26.066,26.929,26.66
3,"F3_JPLL_A13_Q3_wt",2008,3,52.238,52.221,52.482,52.167,52.236
3,"F3_JPLL_A13_Q3_wt",2009,3,9.164,9.16,9.055,9.211,9.165
3,"F3_JPLL_A13_Q3_wt",2010,3,37.64,37.678,38.837,37.175,37.639
3,"F3_JPLL_A13_Q3_wt",2011,3,25.421,25.435,25.489,25.358,25.418
3,"F3_JPLL_A13_Q3_wt",2012,3,17.791,17.798,17.875,17.747,17.79
3,"F3_JPLL_A13_Q3_wt",2013,3,46.195,46.17,45.753,46.41,46.199
3,"F3_JPLL_A13_Q3_wt",2014,3,12.899,12.907,13.206,12.762,12.897
3,"F3_JPLL_A13_Q3_wt",2015,3,19.763,19.779,20.485,19.48,19.76
3,"F3_JPLL_A13_Q3_wt",2016,3,32.788,32.791,33.081,32.649,32.787
3,"F3_JPLL_A13_Q3_wt",2017,3,19.191,19.18,18.828,19.349,19.193
3,"F3_JPLL_A13_Q3_wt",2018,3,11.732,11.727,11.537,11.816,11.733
3,"F3_JPLL_A13_Q3_wt",2019,3,12.231,12.241,12.559,12.098,12.229
3,"F3_JPLL_A13_Q3_wt",2020,3,24.321,24.33,24.388,24.252,24.319
3,"F3_JPLL_A13_Q3_wt",2021,3,22.646,22.636,22.307,22.782,22.648
3,"F3_JPLL_A13_Q3_wt",2022,3,27.079,27.068,26.791,27.153,27.08
3,"F3_JPLL_A13_Q3_wt",2023,3,12.333,12.334,12.545,12.227,12.332
3,"F3_JPLL_A13_Q3_wt",2024,3,37.766,37.793,37.674,37.723,37.764
4,"F4_JPLL_A13_Q4_wt",1996,4,23.542,23.832,23.278,23.584,23.541
4,"F4_JPLL_A13_Q4_wt",1999,4,80.742,80.993,81.031,80.884,80.723
4,"F4_JPLL_A13_Q4_wt",2000,4,51.801,51.82,49.95,52.507,51.798
4,"F4_JPLL_A13_Q4_wt",2001,4,308.046,307.587,301.698,309.461,308.044
4,"F4_JPLL_A13_Q4_wt",2002,4,23.938,23.946,24.149,23.853,23.936
4,"F4_JPLL_A13_Q4_wt",2003,4,43.123,43.143,43.555,42.933,43.119
4,"F4_JPLL_A13_Q4_wt",2004,4,137.736,137.876,145.103,135.292,137.685
4,"F4_JPLL_A13_Q4_wt",2005,4,43.472,43.481,44.989,43.038,43.467
4,"F4_JPLL_A13_Q4_wt",2006,4,106.012,105.949,110.391,104.643,105.976
4,"F4_JPLL_A13_Q4_wt",2007,4,374.787,374.326,365.665,379.275,374.67
4,"F4_JPLL_A13_Q4_wt",2008,4,91.534,91.484,95.306,90.726,91.555
4,"F4_JPLL_A13_Q4_wt",2009,4,314.646,314.652,337.852,308.01,314.588
4,"F4_JPLL_A13_Q4_wt",2010,4,75.58,75.576,73.859,76.239,75.591
4,"F4_JPLL_A13_Q4_wt",2011,4,137.01,137.034,132.914,138.175,136.995
4,"F4_JPLL_A13_Q4_wt",2012,4,87.61,87.584,85.596,88.413,87.618
4,"F4_JPLL_A13_Q4_wt",2013,4,35.24,35.246,35.031,35.281,35.241
4,"F4_JPLL_A13_Q4_wt",2014,4,117.392,117.384,114.946,118.034,117.398
4,"F4_JPLL_A13_Q4_wt",2015,4,84.642,84.648,83.08,85.112,84.646
4,"F4_JPLL_A13_Q4_wt",2016,4,70.888,70.895,74.169,70.001,70.883
4,"F4_JPLL_A13_Q4_wt",2017,4,249.634,249.512,226.231,257.404,249.698
4,"F4_JPLL_A13_Q4_wt",2018,4,217.162,216.995,206.673,221.751,217.211
4,"F4_JPLL_A13_Q4_wt",2019,4,112.949,113.031,108.906,113.955,112.952
4,"F4_JPLL_A13_Q4_wt",2020,4,78.414,78.407,77.464,78.702,78.42
4,"F4_JPLL_A13_Q4_wt",2021,4,50.001,50.009,48.628,50.459,50
4,"F4_JPLL_A13_Q4_wt",2022,4,50.089,50.085,51.941,49.435,50.088
4,"F4_JPLL_A13_Q4_wt",2023,4,25.555,25.535,24.878,25.741,25.558
4,"F4_JPLL_A13_Q4_wt",2024,4,32.06,32.068,32.283,31.984,32.06
9,"F9_JPLL_A2_Q1_wt",1994,1,61.291,57.197,61.102,60.517,61.276
9,"F9_JPLL_A2_Q1_wt",1996,1,58.001,59.611,60.432,59.049,58.019
9,"F9_JPLL_A2_Q1_wt",1997,1,40.108,41.624,38.89,39.453,40.101
9,"F9_JPLL_A2_Q1_wt",1999,1,47.261,47.029,46.643,47.197,47.264
9,"F9_JPLL_A2_Q1_wt",2000,1,53.855,53.682,53.175,54.24,53.862
9,"F9_JPLL_A2_Q1_wt",2001,1,197.443,196.994,188.898,201.857,197.361
9,"F9_JPLL_A2_Q1_wt",2002,1,538.884,538.131,536.469,552.336,538.506
9,"F9_JPLL_A2_Q1_wt",2003,1,239.782,239.846,245.905,240.008,239.771
9,"F9_JPLL_A2_Q1_wt",2004,1,73.801,73.668,72.201,75.05,73.792
9,"F9_JPLL_A2_Q1_wt",2005,1,96.19,96.113,98.463,96.352,96.173
9,"F9_JPLL_A2_Q1_wt",2006,1,112.203,111.963,115.972,111.526,112.245
9,"F9_JPLL_A2_Q1_wt",2007,1,67.003,66.802,70.486,64.536,67.014
9,"F9_JPLL_A2_Q1_wt",2008,1,149.293,149.561,155.77,147.019,149.288
9,"F9_JPLL_A2_Q1_wt",2009,1,89.279,89.028,92.332,88.478,89.313
9,"F9_JPLL_A2_Q1_wt",2010,1,341.835,342.468,339.903,344.427,342.011
9,"F9_JPLL_A2_Q1_wt",2011,1,97.31,97.515,97.757,97.006,97.32
9,"F9_JPLL_A2_Q1_wt",2012,1,109.365,109.617,111.697,108.098,109.361
9,"F9_JPLL_A2_Q1_wt",2013,1,265.097,264.309,270.361,264.112,265.228
9,"F9_JPLL_A2_Q1_wt",2014,1,145.366,145.142,151.584,143.906,145.374
9,"F9_JPLL_A2_Q1_wt",2015,1,421.177,418.751,424.473,427.102,421.368
9,"F9_JPLL_A2_Q1_wt",2016,1,220.851,220.665,213.132,223.432,220.803
9,"F9_JPLL_A2_Q1_wt",2017,1,85.626,85.642,83.756,86.868,85.598
9,"F9_JPLL_A2_Q1_wt",2018,1,157.287,157.357,154.018,160.045,157.298
9,"F9_JPLL_A2_Q1_wt",2019,1,126.819,126.472,128.763,127.097,126.81
9,"F9_JPLL_A2_Q1_wt",2020,1,24.487,24.524,24.356,24.514,24.486
9,"F9_JPLL_A2_Q1_wt",2021,1,39.486,39.406,39.773,39.577,39.488
9,"F9_JPLL_A2_Q1_wt",2022,1,309.004,308.795,307.11,313.938,309.034
9,"F9_JPLL_A2_Q1_wt",2023,1,32.817,32.813,33.441,32.537,32.823
9,"F9_JPLL_A2_Q1_wt",2024,1,56.822,56.764,59.865,55.948,56.83
10,"F10_JPLL_A2_Q2_wt_9624",2000,2,31.962,31.945,32.237,32.01,31.96
10,"F10_JPLL_A2_Q2_wt_9624",2001,2,126.078,125.201,122.256,127.645,126.101
10,"F10_JPLL_A2_Q2_wt_9624",2002,2,242.075,242.151,244.644,241.635,242.053
10,"F10_JPLL_A2_Q2_wt_9624",2003,2,16.318,16.33,16.462,16.281,16.318
10,"F10_JPLL_A2_Q2_wt_9624",2004,2,251.995,252.718,245.16,255.886,252.001
10,"F10_JPLL_A2_Q2_wt_9624",2005,2,87.364,87.122,88.381,86.966,87.34
10,"F10_JPLL_A2_Q2_wt_9624",2006,2,100.931,100.945,98.567,102.172,100.946
10,"F10_JPLL_A2_Q2_wt_9624",2007,2,90.262,89.977,95.205,88.39,90.22
