"variable","base_F26","F1_F20","F20_F24","F20_F26","F26_F34"
"F1_JPLL_A13_Q1_wt",0,0.063,0.027,0.098,0.003
"F2_JPLL_A13_Q2_wt",0.383,0.388,0,0.524,0.372
"F3_JPLL_A13_Q3_wt",0.019,0.02,0.109,0,0.019
"F4_JPLL_A13_Q4_wt",0.161,0.148,0,0.243,0.166
"F9_JPLL_A2_Q1_wt",0,0.045,0.931,0.136,0.002
"F10_JPLL_A2_Q2_wt_9624",0.135,0.145,0,0.167,0.135
"F11_JPLL_A2_Q3_wt",0.261,0.268,0,0.35,0.263
"F12_JPLL_A2_Q4_wt",0.344,0.356,0,0.483,0.346
"F17_JPLL_A4_num",0.026,0.031,0.057,0,0.026
"F18_JPLL_A5_num",0.01,0.016,0.04,0,0.01
"F19_JPPL_A35_Q1",0,0.027,0.064,0.188,0
"F20_JPPL_A35_Q2",0.089,0.11,0.314,0,0.092
"F21_JPPL_A35_Q3",0.139,0.115,0.492,0,0.151
"F22_JPPL_A35_Q4",0,0.021,0.109,0.033,0.059
"F23_JPPL_A24",0.026,0.027,0.047,0,0.026
"F24_USLL_A35",0.049,0.062,0.106,0,0.048
"F25_USLL_A24",0.136,0.198,0.387,0,0.135
"F26_TWLL_A35",0.016,0,0.246,0.078,0.012
"F29_CNLL_A35",0,0.001,0.002,0,0
"F34_EPOSF_xx24",0.164,0.218,0.365,0,0.162
