"Fleet","Fleet_Name","base_F26","F1_F20","F20_F24","F20_F26","F26_F34"
1,"F1_JPLL_A13_Q1_wt",165.829,165.766,165.839,165.794,165.826
2,"F2_JPLL_A13_Q2_wt",59.73,59.742,59.882,59.657,59.725
3,"F3_JPLL_A13_Q3_wt",23.979,23.979,23.862,24.026,23.98
4,"F4_JPLL_A13_Q4_wt",111.985,111.967,111.095,112.403,111.98
9,"F9_JPLL_A2_Q1_wt",146.819,146.603,147.473,147.801,146.821
10,"F10_JPLL_A2_Q2_wt_9624",158.783,158.531,160.689,158.251,158.781
11,"F11_JPLL_A2_Q3_wt",181.381,181.339,184.208,180.399,181.36
12,"F12_JPLL_A2_Q4_wt",116.107,116.148,117.054,115.813,116.1
17,"F17_JPLL_A4_num",75.168,75.114,74.887,75.317,75.168
18,"F18_JPLL_A5_num",45.938,45.73,45.124,46.278,45.938
19,"F19_JPPL_A35_Q1",19.028,18.87,19.014,18.348,19.029
20,"F20_JPPL_A35_Q2",34.182,34.185,33.748,34.369,34.183
21,"F21_JPPL_A35_Q3",18.029,18.049,17.853,18.108,18.03
22,"F22_JPPL_A35_Q4",10.423,10.411,10.353,10.4,10.383
23,"F23_JPPL_A24",13.388,13.41,13.448,13.357,13.389
24,"F24_USLL_A35",36.581,36.545,36.297,36.583,36.582
25,"F25_USLL_A24",63.198,62.9,62.238,63.448,63.201
26,"F26_TWLL_A35",63.064,63.071,64.099,62.564,63.06
29,"F29_CNLL_A35",122.014,120.851,113.411,124.696,122.156
30,"F30_CNLL_A24",16.92,16.742,17.301,16.798,16.92
31,"F31_VULL_mt",33.296,33.246,32.316,33.755,33.303
34,"F34_EPOSF_xx24",70.062,70.063,69.961,70.159,70.081
35,"F35_JPTWKR_DNMisc",16.874,16.342,17.112,15.129,16.875
36,"S36_JPLL_idx_adult",17.14,6.692,6.511,6.781,6.7
