"Label","variable","value","minval","delta"
"Length_comp","base_F26",1212.18,1212.18,0
"Length_comp","F26_F34",1212.25,1212.18,0.07
"Length_comp","F20_F26",1212.52,1212.18,0.34
"Length_comp","F20_F24",1213.52,1212.18,1.34
"Length_comp","F1_F20",1212.48,1212.18,0.3
"Survey","base_F26",-26.134,-26.164,0.03
"Survey","F26_F34",-26.135,-26.164,0.029
"Survey","F20_F26",-26.149,-26.164,0.015
"Survey","F20_F24",-26.164,-26.164,0
"Survey","F1_F20",-26.131,-26.164,0.033
"TOTAL","base_F26",1646.18,1646.18,0
"TOTAL","F26_F34",1646.26,1646.18,0.08
"TOTAL","F20_F26",1646.62,1646.18,0.44
"TOTAL","F20_F24",1647.41,1646.18,1.23
"TOTAL","F1_F20",1646.83,1646.18,0.65
"InitF_seas_1_flt_1F1_JPLL_A13_Q1_wt","base_F26",NA,NA,NA
"InitF_seas_1_flt_1F1_JPLL_A13_Q1_wt","F26_F34",NA,NA,NA
"InitF_seas_1_flt_1F1_JPLL_A13_Q1_wt","F20_F26",NA,NA,NA
"InitF_seas_1_flt_1F1_JPLL_A13_Q1_wt","F20_F24",NA,NA,NA
"InitF_seas_1_flt_1F1_JPLL_A13_Q1_wt","F1_F20",9.188,NA,NA
"InitF_seas_1_flt_20F20_JPPL_A35_Q2","base_F26",NA,NA,NA
"InitF_seas_1_flt_20F20_JPPL_A35_Q2","F26_F34",NA,NA,NA
"InitF_seas_1_flt_20F20_JPPL_A35_Q2","F20_F26",0,NA,NA
"InitF_seas_1_flt_20F20_JPPL_A35_Q2","F20_F24",0,NA,NA
"InitF_seas_1_flt_20F20_JPPL_A35_Q2","F1_F20",0,NA,NA
"InitF_seas_1_flt_24F24_USLL_A35","base_F26",NA,NA,NA
"InitF_seas_1_flt_24F24_USLL_A35","F26_F34",NA,NA,NA
"InitF_seas_1_flt_24F24_USLL_A35","F20_F26",NA,NA,NA
"InitF_seas_1_flt_24F24_USLL_A35","F20_F24",1.691,NA,NA
"InitF_seas_1_flt_24F24_USLL_A35","F1_F20",NA,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","base_F26",1.329,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","F26_F34",1.328,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","F20_F26",1.21,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","F20_F24",NA,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","F1_F20",NA,NA,NA
"InitF_seas_1_flt_34F34_EPOSF_xx24","base_F26",NA,NA,NA
"InitF_seas_1_flt_34F34_EPOSF_xx24","F26_F34",0,NA,NA
"InitF_seas_1_flt_34F34_EPOSF_xx24","F20_F26",NA,NA,NA
"InitF_seas_1_flt_34F34_EPOSF_xx24","F20_F24",NA,NA,NA
"InitF_seas_1_flt_34F34_EPOSF_xx24","F1_F20",NA,NA,NA
"SR_LN(R0)","base_F26",12.12,NA,NA
"SR_LN(R0)","F26_F34",12.121,NA,NA
"SR_LN(R0)","F20_F26",12.15,NA,NA
"SR_LN(R0)","F20_F24",12.06,NA,NA
"SR_LN(R0)","F1_F20",12.121,NA,NA
"SR_regime_BLK1add_1993","base_F26",0.043,NA,NA
"SR_regime_BLK1add_1993","F26_F34",0.043,NA,NA
"SR_regime_BLK1add_1993","F20_F26",0.044,NA,NA
"SR_regime_BLK1add_1993","F20_F24",0.035,NA,NA
"SR_regime_BLK1add_1993","F1_F20",0.068,NA,NA
