"Fleet","Fleet_Name","Yr","Seas","base2026","estM","M=0.3","M=consM_consF"
1,"F1_JPLL_A13_Q1_wt",1994,1,25.28,28.998,24.892,25.391
1,"F1_JPLL_A13_Q1_wt",1995,1,4.287,4.367,4.253,4.29
1,"F1_JPLL_A13_Q1_wt",1996,1,14.989,14.069,14.939,14.913
1,"F1_JPLL_A13_Q1_wt",1997,1,52.157,51.811,50.91,52.623
1,"F1_JPLL_A13_Q1_wt",1998,1,102.617,100.928,101.007,102.202
1,"F1_JPLL_A13_Q1_wt",1999,1,16.449,17.298,16.15,16.472
1,"F1_JPLL_A13_Q1_wt",2000,1,222.49,241.203,223.748,222.779
1,"F1_JPLL_A13_Q1_wt",2001,1,126.658,125.844,125.548,125.191
1,"F1_JPLL_A13_Q1_wt",2002,1,307.196,201.106,308.294,304.251
1,"F1_JPLL_A13_Q1_wt",2003,1,162.194,178.811,162.372,163.885
1,"F1_JPLL_A13_Q1_wt",2004,1,80.503,84.075,82.062,80.397
1,"F1_JPLL_A13_Q1_wt",2005,1,82.492,85.454,83.823,82.667
1,"F1_JPLL_A13_Q1_wt",2006,1,250.767,216.475,247.194,248.996
1,"F1_JPLL_A13_Q1_wt",2007,1,264.592,316.091,265.05,266.832
1,"F1_JPLL_A13_Q1_wt",2008,1,107.571,105.505,108.216,107.647
1,"F1_JPLL_A13_Q1_wt",2009,1,499.895,449.89,485.196,494.068
1,"F1_JPLL_A13_Q1_wt",2010,1,395.973,384.827,403.66,399.189
1,"F1_JPLL_A13_Q1_wt",2011,1,448.302,466.354,426.687,460.375
1,"F1_JPLL_A13_Q1_wt",2012,1,257.735,284.852,257.768,259.002
1,"F1_JPLL_A13_Q1_wt",2013,1,202.924,253.305,201.267,205.48
1,"F1_JPLL_A13_Q1_wt",2014,1,53.868,58.405,53.912,54.161
1,"F1_JPLL_A13_Q1_wt",2015,1,217.624,221.635,219.277,216.556
1,"F1_JPLL_A13_Q1_wt",2016,1,200.948,199.299,198.762,201.381
1,"F1_JPLL_A13_Q1_wt",2017,1,195.333,219.307,193.136,197.191
1,"F1_JPLL_A13_Q1_wt",2018,1,91.714,99.361,89.892,92.143
1,"F1_JPLL_A13_Q1_wt",2019,1,70.26,68.301,70.194,69.813
1,"F1_JPLL_A13_Q1_wt",2020,1,176.215,162.261,183.787,176.742
1,"F1_JPLL_A13_Q1_wt",2021,1,64.338,59.299,66.028,63.387
1,"F1_JPLL_A13_Q1_wt",2022,1,41.306,42.864,41.169,41.856
1,"F1_JPLL_A13_Q1_wt",2023,1,360.635,386.012,350.493,369.616
1,"F1_JPLL_A13_Q1_wt",2024,1,43.402,39.727,44.835,42.992
2,"F2_JPLL_A13_Q2_wt",1996,2,12.227,13.951,11.931,12.181
2,"F2_JPLL_A13_Q2_wt",1997,2,54.674,45.325,57.562,54.903
2,"F2_JPLL_A13_Q2_wt",2000,2,7.87,7.893,7.881,7.889
2,"F2_JPLL_A13_Q2_wt",2001,2,61.528,55.255,66.445,59.031
2,"F2_JPLL_A13_Q2_wt",2002,2,27.537,27.966,28.448,27.343
2,"F2_JPLL_A13_Q2_wt",2003,2,52.742,68.02,49.821,52.435
2,"F2_JPLL_A13_Q2_wt",2004,2,24.405,25.735,25.893,24.674
2,"F2_JPLL_A13_Q2_wt",2005,2,28.877,30.347,30.047,29.178
2,"F2_JPLL_A13_Q2_wt",2006,2,88.302,81.969,87.317,87.601
2,"F2_JPLL_A13_Q2_wt",2007,2,251.599,282.252,252.433,258.241
2,"F2_JPLL_A13_Q2_wt",2008,2,51.672,49.257,52.415,51.591
2,"F2_JPLL_A13_Q2_wt",2009,2,90.203,87.902,87.227,88.913
2,"F2_JPLL_A13_Q2_wt",2010,2,101.309,111.957,99.957,102.773
2,"F2_JPLL_A13_Q2_wt",2011,2,47.518,46.998,47.108,46.948
2,"F2_JPLL_A13_Q2_wt",2012,2,98.333,112.349,98.17,99.091
2,"F2_JPLL_A13_Q2_wt",2013,2,91.104,105.977,91.305,91.999
2,"F2_JPLL_A13_Q2_wt",2014,2,56.067,62.151,55.387,56.645
2,"F2_JPLL_A13_Q2_wt",2015,2,54.985,62.191,55.474,55.562
2,"F2_JPLL_A13_Q2_wt",2016,2,34.08,38.926,34.487,34.398
2,"F2_JPLL_A13_Q2_wt",2017,2,62.936,64.356,60.83,63.365
2,"F2_JPLL_A13_Q2_wt",2018,2,26.012,26.87,25.929,26.19
2,"F2_JPLL_A13_Q2_wt",2019,2,47.399,53.135,45.039,47.394
2,"F2_JPLL_A13_Q2_wt",2020,2,157.238,115.112,164.591,156.124
2,"F2_JPLL_A13_Q2_wt",2021,2,10.697,10.609,10.921,10.751
2,"F2_JPLL_A13_Q2_wt",2022,2,5.867,5.621,5.965,5.867
2,"F2_JPLL_A13_Q2_wt",2023,2,48.065,47.43,47.654,48.032
2,"F2_JPLL_A13_Q2_wt",2024,2,19.469,17.364,20.308,19.438
3,"F3_JPLL_A13_Q3_wt",2000,3,45.609,36.982,50.604,45.588
3,"F3_JPLL_A13_Q3_wt",2001,3,11.52,11.598,11.406,11.454
3,"F3_JPLL_A13_Q3_wt",2002,3,25.655,26.151,25.768,25.811
3,"F3_JPLL_A13_Q3_wt",2003,3,10.091,9.811,9.835,10.128
3,"F3_JPLL_A13_Q3_wt",2004,3,8.061,8.699,7.536,8.053
3,"F3_JPLL_A13_Q3_wt",2005,3,34.101,31.06,37.375,34.261
3,"F3_JPLL_A13_Q3_wt",2006,3,16.585,14.287,17.962,16.474
3,"F3_JPLL_A13_Q3_wt",2007,3,26.654,23.024,28.592,26.65
3,"F3_JPLL_A13_Q3_wt",2008,3,52.238,55.792,50.662,52.423
3,"F3_JPLL_A13_Q3_wt",2009,3,9.164,7.846,9.99,9.179
3,"F3_JPLL_A13_Q3_wt",2010,3,37.64,52.664,33.224,38.271
3,"F3_JPLL_A13_Q3_wt",2011,3,25.421,25.769,24.716,25.492
3,"F3_JPLL_A13_Q3_wt",2012,3,17.791,18.685,17.229,17.84
3,"F3_JPLL_A13_Q3_wt",2013,3,46.195,47.727,45.233,45.817
3,"F3_JPLL_A13_Q3_wt",2014,3,12.899,14.396,11.977,13.023
3,"F3_JPLL_A13_Q3_wt",2015,3,19.763,24.695,17.728,19.918
3,"F3_JPLL_A13_Q3_wt",2016,3,32.788,36.607,30.876,33
3,"F3_JPLL_A13_Q3_wt",2017,3,19.191,18.373,19.293,19.277
3,"F3_JPLL_A13_Q3_wt",2018,3,11.732,10.976,12.156,11.766
3,"F3_JPLL_A13_Q3_wt",2019,3,12.231,13.847,11.666,12.332
3,"F3_JPLL_A13_Q3_wt",2020,3,24.321,28.027,22.523,24.355
3,"F3_JPLL_A13_Q3_wt",2021,3,22.646,20.922,23.466,22.584
3,"F3_JPLL_A13_Q3_wt",2022,3,27.079,26.826,27.042,27.087
3,"F3_JPLL_A13_Q3_wt",2023,3,12.333,13.737,11.635,12.419
3,"F3_JPLL_A13_Q3_wt",2024,3,37.766,41.171,36.389,38
4,"F4_JPLL_A13_Q4_wt",1996,4,23.542,24.46,23.112,23.542
4,"F4_JPLL_A13_Q4_wt",1999,4,80.742,84.331,77.308,79.873
4,"F4_JPLL_A13_Q4_wt",2000,4,51.801,59.709,47.931,51.438
4,"F4_JPLL_A13_Q4_wt",2001,4,308.046,297.735,321.919,305.304
4,"F4_JPLL_A13_Q4_wt",2002,4,23.938,25.169,23.254,24.411
4,"F4_JPLL_A13_Q4_wt",2003,4,43.123,41.922,44.463,43.654
4,"F4_JPLL_A13_Q4_wt",2004,4,137.736,114.269,161.969,137.031
4,"F4_JPLL_A13_Q4_wt",2005,4,43.472,44.979,43.141,43.863
4,"F4_JPLL_A13_Q4_wt",2006,4,106.012,117.496,96.655,107.583
4,"F4_JPLL_A13_Q4_wt",2007,4,374.787,425.084,344.769,383.243
4,"F4_JPLL_A13_Q4_wt",2008,4,91.534,80.46,98.533,90.136
4,"F4_JPLL_A13_Q4_wt",2009,4,314.646,276.839,349.629,317.874
4,"F4_JPLL_A13_Q4_wt",2010,4,75.58,87.872,71.597,75.71
4,"F4_JPLL_A13_Q4_wt",2011,4,137.01,140.093,138.669,136.915
4,"F4_JPLL_A13_Q4_wt",2012,4,87.61,92.451,85.105,87.385
4,"F4_JPLL_A13_Q4_wt",2013,4,35.24,36.917,34.665,35.453
4,"F4_JPLL_A13_Q4_wt",2014,4,117.392,135.386,107.875,118.86
4,"F4_JPLL_A13_Q4_wt",2015,4,84.642,91.691,80.385,84.826
4,"F4_JPLL_A13_Q4_wt",2016,4,70.888,69.06,70.205,71.276
