"Fleet","Fleet_Name","base2026","estM","M=0.3","M=consM_consF"
1,"F1_JPLL_A13_Q1_wt",165.829,166.701,164.662,166.532
2,"F2_JPLL_A13_Q2_wt",59.73,61.367,60.02,59.947
3,"F3_JPLL_A13_Q3_wt",23.979,24.787,23.795,24.048
4,"F4_JPLL_A13_Q4_wt",111.985,119.439,110.407,112.364
9,"F9_JPLL_A2_Q1_wt",146.819,143.825,150.956,147.058
10,"F10_JPLL_A2_Q2_wt_9624",158.783,156.771,158.536,158.328
11,"F11_JPLL_A2_Q3_wt",181.381,182.126,185.279,184.945
12,"F12_JPLL_A2_Q4_wt",116.107,113.532,117.782,116.1
17,"F17_JPLL_A4_num",75.168,76.562,74.245,75.287
18,"F18_JPLL_A5_num",45.938,46.384,46.784,46.147
19,"F19_JPPL_A35_Q1",19.028,20.762,17.81,18.902
20,"F20_JPPL_A35_Q2",34.182,39.175,31.867,33.881
21,"F21_JPPL_A35_Q3",18.029,18.121,17.559,17.963
22,"F22_JPPL_A35_Q4",10.423,8.575,10.224,10.178
23,"F23_JPPL_A24",13.388,13.915,13.276,13.433
24,"F24_USLL_A35",36.581,37.41,35.895,36.552
25,"F25_USLL_A24",63.198,64.604,61.874,63.124
26,"F26_TWLL_A35",63.064,68.595,59.92,63.102
29,"F29_CNLL_A35",122.014,162.744,113.372,118.052
30,"F30_CNLL_A24",16.92,16.227,16.699,17.074
31,"F31_VULL_mt",33.296,28.151,35.91,33.23
34,"F34_EPOSF_xx24",70.062,72.492,68.32,70.016
35,"F35_JPTWKR_DNMisc",16.874,11.915,16.849,16.874
36,"S36_JPLL_idx_adult",17.14,15.75,17.467,17.098
