"Label","variable","value","minval","delta"
"Length_comp","M=0.3",1225.32,1189.09,36.23
"Length_comp","M=consM_consF",1210.36,1189.09,21.27
"Length_comp","estM",1189.09,1189.09,0
"Length_comp","base2026",1212.18,1189.09,23.09
"Survey","M=0.3",-26.374,-26.374,0
"Survey","M=consM_consF",-26.156,-26.374,0.217
"Survey","estM",-25.099,-26.374,1.274
"Survey","base2026",-26.134,-26.374,0.24
"TOTAL","M=0.3",1659.41,1626.39,33.02
"TOTAL","M=consM_consF",1644.13,1626.39,17.74
"TOTAL","estM",1626.39,1626.39,0
"TOTAL","base2026",1646.18,1626.39,19.79
"InitF_seas_1_flt_26F26_TWLL_A35","M=0.3",1.759,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","M=consM_consF",1.455,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","estM",0.672,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","base2026",1.329,NA,NA
"SR_LN(R0)","M=0.3",10.543,NA,NA
"SR_LN(R0)","M=consM_consF",11.228,NA,NA
"SR_LN(R0)","estM",16.337,NA,NA
"SR_LN(R0)","base2026",12.12,NA,NA
"SR_regime_BLK1add_1993","M=0.3",-0.041,NA,NA
"SR_regime_BLK1add_1993","M=consM_consF",0.033,NA,NA
"SR_regime_BLK1add_1993","estM",0.263,NA,NA
"SR_regime_BLK1add_1993","base2026",0.043,NA,NA
