"type","Fleet","Fleet_Name","Yr","Seas","Nsamp_in","Nsamp_adj","effN"
"M=0.3",1,"F1_JPLL_A13_Q1_wt",1994,1,90.54,24.9184,24.8924
"M=0.3",1,"F1_JPLL_A13_Q1_wt",1995,1,1.04,0.286229,4.25303
"M=0.3",1,"F1_JPLL_A13_Q1_wt",1996,1,92.13,25.356,14.9389
"M=0.3",1,"F1_JPLL_A13_Q1_wt",1997,1,113.56,31.254,50.9104
"M=0.3",1,"F1_JPLL_A13_Q1_wt",1998,1,121.3,33.3842,101.007
"M=0.3",1,"F1_JPLL_A13_Q1_wt",1999,1,19.47,5.35853,16.1498
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2000,1,83.39,22.9506,223.748
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2001,1,151.26,41.6298,125.548
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2002,1,391.14,107.65,308.294
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2003,1,232.32,63.9391,162.372
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2004,1,246.15,67.7454,82.0616
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2005,1,342.26,94.1968,83.8233
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2006,1,283.38,77.9918,247.194
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2007,1,201.49,55.4541,265.05
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2008,1,291.31,80.1743,108.216
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2009,1,270.37,74.4112,485.196
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2010,1,232.98,64.1208,403.66
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2011,1,261.75,72.0388,426.687
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2012,1,298.33,82.1064,257.768
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2013,1,138.71,38.1758,201.267
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2014,1,164.52,45.2792,53.912
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2015,1,253.56,69.7848,219.277
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2016,1,246.7,67.8968,198.762
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2017,1,199.39,54.8761,193.136
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2018,1,146.91,40.4326,89.8918
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2019,1,132.24,36.3951,70.1937
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2020,1,152.93,42.0894,183.787
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2021,1,184.29,50.7203,66.0284
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2022,1,191.86,52.8037,41.1685
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2023,1,196.68,54.1303,350.493
"M=0.3",1,"F1_JPLL_A13_Q1_wt",2024,1,77.44,21.313,44.8348
"M=0.3",2,"F2_JPLL_A13_Q2_wt",1996,2,9.74,2.14572,11.9308
"M=0.3",2,"F2_JPLL_A13_Q2_wt",1997,2,22.66,4.992,57.5619
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2000,2,1.16,0.255548,7.88131
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2001,2,93.34,20.5628,66.4454
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2002,2,171.01,37.6735,28.4485
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2003,2,154.28,33.9879,49.8209
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2004,2,156.2,34.4109,25.8928
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2005,2,317.81,70.0135,30.0465
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2006,2,215.61,47.4989,87.3167
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2007,2,150.55,33.1662,252.433
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2008,2,182.61,40.229,52.4152
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2009,2,152.31,33.5539,87.2268
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2010,2,109.97,24.2264,99.9571
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2011,2,128.75,28.3636,47.1077
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2012,2,120.39,26.5219,98.1697
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2013,2,93.57,20.6135,91.3046
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2014,2,89.49,19.7146,55.3871
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2015,2,80.71,17.7804,55.4735
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2016,2,84.47,18.6087,34.4872
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2017,2,65.57,14.4451,60.8304
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2018,2,37.79,8.32514,25.9293
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2019,2,38.18,8.41105,45.0393
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2020,2,47.99,10.5722,164.591
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2021,2,94.24,20.7611,10.9209
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2022,2,44.87,9.88486,5.96482
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2023,2,52.51,11.568,47.6541
"M=0.3",2,"F2_JPLL_A13_Q2_wt",2024,2,46.62,10.2704,20.3079
"M=0.3",3,"F3_JPLL_A13_Q3_wt",2000,3,1.06,0.291733,50.6044
"M=0.3",3,"F3_JPLL_A13_Q3_wt",2001,3,15.03,4.13656,11.4064
"M=0.3",3,"F3_JPLL_A13_Q3_wt",2002,3,9.45,2.60083,25.7685
"M=0.3",3,"F3_JPLL_A13_Q3_wt",2003,3,8.19,2.25405,9.83465
"M=0.3",3,"F3_JPLL_A13_Q3_wt",2004,3,2.9,0.798138,7.53634
"M=0.3",3,"F3_JPLL_A13_Q3_wt",2005,3,16.29,4.48333,37.3746
"M=0.3",3,"F3_JPLL_A13_Q3_wt",2006,3,4.86,1.33757,17.9624
