"variable","base2026","h est (no conv)","h=0.75","h=0.80","h=0.85"
"F1_JPLL_A13_Q1_wt",0.435,0,0.375,0.399,20.46
"F2_JPLL_A13_Q2_wt",2.899,0.861,2.821,2.85,0
"F3_JPLL_A13_Q3_wt",0.374,0,0.378,0.377,0.675
"F4_JPLL_A13_Q4_wt",12.018,9.603,12.001,12.005,0
"F9_JPLL_A2_Q1_wt",0,1.049,0.035,0.023,5.025
"F10_JPLL_A2_Q2_wt_9624",5.782,5.531,5.777,5.778,0
"F11_JPLL_A2_Q3_wt",4.869,5.158,4.881,4.875,0
"F12_JPLL_A2_Q4_wt",1.328,1.7,1.322,1.322,0
"F17_JPLL_A4_num",1.189,0.622,1.189,1.189,0
"F18_JPLL_A5_num",0.194,0.155,0.194,0.194,0
"F19_JPPL_A35_Q1",1.307,0,1.303,1.305,0.496
"F20_JPPL_A35_Q2",3.895,0,3.894,3.895,5.687
"F21_JPPL_A35_Q3",4.922,0.291,4.936,4.932,0
"F22_JPPL_A35_Q4",0.5,3.32,0.509,0.506,0
"F23_JPPL_A24",0.049,0,0.05,0.05,1.234
"F24_USLL_A35",0,0.055,0,0,0.883
"F25_USLL_A24",1.954,1.268,1.943,1.948,0
"F26_TWLL_A35",7.193,2.951,7.326,7.274,0
"F29_CNLL_A35",0.016,0,0.017,0.017,0.002
"F34_EPOSF_xx24",7.927,0,7.926,7.927,4.527
