"Fleet","Fleet_Name","Yr","Seas","base2026","h=0.75","h=0.80","h=0.85"
1,"F1_JPLL_A13_Q1_wt",1994,1,25.28,25.281,25.281,25.281
1,"F1_JPLL_A13_Q1_wt",1995,1,4.287,4.287,4.287,4.287
1,"F1_JPLL_A13_Q1_wt",1996,1,14.989,14.989,14.989,14.989
1,"F1_JPLL_A13_Q1_wt",1997,1,52.157,52.157,52.157,52.157
1,"F1_JPLL_A13_Q1_wt",1998,1,102.617,102.618,102.618,102.618
1,"F1_JPLL_A13_Q1_wt",1999,1,16.449,16.449,16.449,16.449
1,"F1_JPLL_A13_Q1_wt",2000,1,222.49,222.491,222.491,222.491
1,"F1_JPLL_A13_Q1_wt",2001,1,126.658,126.658,126.658,126.658
1,"F1_JPLL_A13_Q1_wt",2002,1,307.196,307.194,307.194,307.194
1,"F1_JPLL_A13_Q1_wt",2003,1,162.194,162.195,162.195,162.195
1,"F1_JPLL_A13_Q1_wt",2004,1,80.503,80.503,80.503,80.503
1,"F1_JPLL_A13_Q1_wt",2005,1,82.492,82.492,82.492,82.492
1,"F1_JPLL_A13_Q1_wt",2006,1,250.767,250.768,250.768,250.768
1,"F1_JPLL_A13_Q1_wt",2007,1,264.592,264.592,264.592,264.592
1,"F1_JPLL_A13_Q1_wt",2008,1,107.571,107.571,107.571,107.571
1,"F1_JPLL_A13_Q1_wt",2009,1,499.895,499.894,499.894,499.894
1,"F1_JPLL_A13_Q1_wt",2010,1,395.973,395.972,395.972,395.972
1,"F1_JPLL_A13_Q1_wt",2011,1,448.302,448.301,448.301,448.301
1,"F1_JPLL_A13_Q1_wt",2012,1,257.735,257.735,257.735,257.735
1,"F1_JPLL_A13_Q1_wt",2013,1,202.924,202.926,202.926,202.926
1,"F1_JPLL_A13_Q1_wt",2014,1,53.868,53.868,53.868,53.868
1,"F1_JPLL_A13_Q1_wt",2015,1,217.624,217.625,217.625,217.625
1,"F1_JPLL_A13_Q1_wt",2016,1,200.948,200.948,200.948,200.948
1,"F1_JPLL_A13_Q1_wt",2017,1,195.333,195.334,195.334,195.334
1,"F1_JPLL_A13_Q1_wt",2018,1,91.714,91.714,91.714,91.714
1,"F1_JPLL_A13_Q1_wt",2019,1,70.26,70.26,70.26,70.26
1,"F1_JPLL_A13_Q1_wt",2020,1,176.215,176.216,176.216,176.216
1,"F1_JPLL_A13_Q1_wt",2021,1,64.338,64.338,64.338,64.338
1,"F1_JPLL_A13_Q1_wt",2022,1,41.306,41.306,41.306,41.306
1,"F1_JPLL_A13_Q1_wt",2023,1,360.635,360.653,360.653,360.653
1,"F1_JPLL_A13_Q1_wt",2024,1,43.402,43.403,43.403,43.403
2,"F2_JPLL_A13_Q2_wt",1996,2,12.227,12.227,12.227,12.227
2,"F2_JPLL_A13_Q2_wt",1997,2,54.674,54.674,54.674,54.674
2,"F2_JPLL_A13_Q2_wt",2000,2,7.87,7.87,7.87,7.87
2,"F2_JPLL_A13_Q2_wt",2001,2,61.528,61.528,61.528,61.528
2,"F2_JPLL_A13_Q2_wt",2002,2,27.537,27.537,27.537,27.537
2,"F2_JPLL_A13_Q2_wt",2003,2,52.742,52.742,52.742,52.742
