"variable","base2026","h=0.75","h=0.80","h=0.85"
"F1_JPLL_A13_Q1_wt",0,0,0,0
"F2_JPLL_A13_Q2_wt",0,0,0,0
"F3_JPLL_A13_Q3_wt",0,0,0,0
"F4_JPLL_A13_Q4_wt",0,0.001,0.001,0.001
"F9_JPLL_A2_Q1_wt",0,0,0,0
"F10_JPLL_A2_Q2_wt_9624",0,0,0,0
"F11_JPLL_A2_Q3_wt",0,0,0,0
"F12_JPLL_A2_Q4_wt",0,0,0,0
"F17_JPLL_A4_num",0,0,0,0
"F18_JPLL_A5_num",0,0,0,0
"F19_JPPL_A35_Q1",0,0,0,0
"F20_JPPL_A35_Q2",0,0,0,0
"F21_JPPL_A35_Q3",0,0,0,0
"F22_JPPL_A35_Q4",0,0,0,0
"F23_JPPL_A24",0,0,0,0
"F24_USLL_A35",0,0,0,0
"F25_USLL_A24",0,0,0,0
"F26_TWLL_A35",0,0.001,0.001,0.001
"F29_CNLL_A35",0,0,0,0
"F34_EPOSF_xx24",0,0,0,0
