"Fleet","Fleet_Name","Yr","Seas","base2026","cvold=.08","growth est"
1,"F1_JPLL_A13_Q1_wt",1994,1,25.28,28.122,27.016
1,"F1_JPLL_A13_Q1_wt",1995,1,4.287,4.502,4.256
1,"F1_JPLL_A13_Q1_wt",1996,1,14.989,11.135,13.653
1,"F1_JPLL_A13_Q1_wt",1997,1,52.157,48.678,51.228
1,"F1_JPLL_A13_Q1_wt",1998,1,102.617,61.623,93.523
1,"F1_JPLL_A13_Q1_wt",1999,1,16.449,18.373,16.888
1,"F1_JPLL_A13_Q1_wt",2000,1,222.49,232.711,227.303
1,"F1_JPLL_A13_Q1_wt",2001,1,126.658,75.773,121.86
1,"F1_JPLL_A13_Q1_wt",2002,1,307.196,143.517,211.935
1,"F1_JPLL_A13_Q1_wt",2003,1,162.194,223.007,170.419
1,"F1_JPLL_A13_Q1_wt",2004,1,80.503,87.294,83.513
1,"F1_JPLL_A13_Q1_wt",2005,1,82.492,74.16,79.935
1,"F1_JPLL_A13_Q1_wt",2006,1,250.767,153.74,213.559
1,"F1_JPLL_A13_Q1_wt",2007,1,264.592,386.592,300.457
1,"F1_JPLL_A13_Q1_wt",2008,1,107.571,99.494,104.395
1,"F1_JPLL_A13_Q1_wt",2009,1,499.895,244.305,450.128
1,"F1_JPLL_A13_Q1_wt",2010,1,395.973,270.599,354.328
1,"F1_JPLL_A13_Q1_wt",2011,1,448.302,444.4,470.568
1,"F1_JPLL_A13_Q1_wt",2012,1,257.735,260.017,222.497
1,"F1_JPLL_A13_Q1_wt",2013,1,202.924,290.37,232.941
1,"F1_JPLL_A13_Q1_wt",2014,1,53.868,62.067,54.42
1,"F1_JPLL_A13_Q1_wt",2015,1,217.624,110.963,209.421
1,"F1_JPLL_A13_Q1_wt",2016,1,200.948,90.617,207.046
1,"F1_JPLL_A13_Q1_wt",2017,1,195.333,255.117,214.632
1,"F1_JPLL_A13_Q1_wt",2018,1,91.714,75.722,100.312
1,"F1_JPLL_A13_Q1_wt",2019,1,70.26,72.046,72.595
1,"F1_JPLL_A13_Q1_wt",2020,1,176.215,73.538,183.074
1,"F1_JPLL_A13_Q1_wt",2021,1,64.338,31.59,52.963
1,"F1_JPLL_A13_Q1_wt",2022,1,41.306,28.813,46.618
1,"F1_JPLL_A13_Q1_wt",2023,1,360.635,193.545,330.852
1,"F1_JPLL_A13_Q1_wt",2024,1,43.402,21.454,38.506
2,"F2_JPLL_A13_Q2_wt",1996,2,12.227,12.647,13.364
2,"F2_JPLL_A13_Q2_wt",1997,2,54.674,51.821,50.465
2,"F2_JPLL_A13_Q2_wt",2000,2,7.87,8.141,8.005
2,"F2_JPLL_A13_Q2_wt",2001,2,61.528,71.329,48.241
2,"F2_JPLL_A13_Q2_wt",2002,2,27.537,31.293,23.104
2,"F2_JPLL_A13_Q2_wt",2003,2,52.742,57.469,47.046
2,"F2_JPLL_A13_Q2_wt",2004,2,24.405,24.58,24.742
2,"F2_JPLL_A13_Q2_wt",2005,2,28.877,30.91,28.221
2,"F2_JPLL_A13_Q2_wt",2006,2,88.302,62.212,82.543
2,"F2_JPLL_A13_Q2_wt",2007,2,251.599,407.265,290.787
2,"F2_JPLL_A13_Q2_wt",2008,2,51.672,47.152,51.861
2,"F2_JPLL_A13_Q2_wt",2009,2,90.203,87.15,84.015
2,"F2_JPLL_A13_Q2_wt",2010,2,101.309,131.771,104.172
2,"F2_JPLL_A13_Q2_wt",2011,2,47.518,37.769,42.041
2,"F2_JPLL_A13_Q2_wt",2012,2,98.333,131.48,100.18
2,"F2_JPLL_A13_Q2_wt",2013,2,91.104,144.267,105.28
2,"F2_JPLL_A13_Q2_wt",2014,2,56.067,76.53,57.55
2,"F2_JPLL_A13_Q2_wt",2015,2,54.985,77.98,61.042
2,"F2_JPLL_A13_Q2_wt",2016,2,34.08,41.578,38.574
2,"F2_JPLL_A13_Q2_wt",2017,2,62.936,71.668,59.524
2,"F2_JPLL_A13_Q2_wt",2018,2,26.012,31.42,27.078
2,"F2_JPLL_A13_Q2_wt",2019,2,47.399,40.462,39.355
2,"F2_JPLL_A13_Q2_wt",2020,2,157.238,92.167,168.225
2,"F2_JPLL_A13_Q2_wt",2021,2,10.697,10.782,9.755
2,"F2_JPLL_A13_Q2_wt",2022,2,5.867,5.874,5.737
2,"F2_JPLL_A13_Q2_wt",2023,2,48.065,39.033,40.288
2,"F2_JPLL_A13_Q2_wt",2024,2,19.469,15.985,18.763
3,"F3_JPLL_A13_Q3_wt",2000,3,45.609,40.102,52.722
3,"F3_JPLL_A13_Q3_wt",2001,3,11.52,11.938,10.715
3,"F3_JPLL_A13_Q3_wt",2002,3,25.655,30.369,25.048
3,"F3_JPLL_A13_Q3_wt",2003,3,10.091,10.709,9.738
