"variable","base2026","cvold=.06","cvold=.08","growth est"
"F1_JPLL_A13_Q1_wt",0.419,0.419,0.419,0
"F2_JPLL_A13_Q2_wt",2.391,2.391,2.391,0
"F3_JPLL_A13_Q3_wt",0.236,0.236,0.236,0
"F4_JPLL_A13_Q4_wt",2.539,2.539,2.539,0
"F9_JPLL_A2_Q1_wt",0,0,0,1.132
"F10_JPLL_A2_Q2_wt_9624",0.235,0.235,0.235,0
"F11_JPLL_A2_Q3_wt",0,0,0,0.126
"F12_JPLL_A2_Q4_wt",0,0,0,0.052
"F17_JPLL_A4_num",0.5,0.5,0.5,0
"F18_JPLL_A5_num",0.03,0.03,0.03,0
"F19_JPPL_A35_Q1",1.309,1.309,1.309,0
"F20_JPPL_A35_Q2",3.852,3.852,3.852,0
"F21_JPPL_A35_Q3",4.552,4.552,4.552,0
"F22_JPPL_A35_Q4",0,0,0,3.245
"F23_JPPL_A24",0.018,0.018,0.018,0
"F24_USLL_A35",0,0,0,0.127
"F25_USLL_A24",0.48,0.48,0.48,0
"F26_TWLL_A35",3.01,3.011,3.011,0
"F29_CNLL_A35",0.016,0.016,0.016,0
"F34_EPOSF_xx24",7.41,7.41,7.41,0
