"Fleet","Fleet_Name","base2026","cvold=.08","growth est"
1,"F1_JPLL_A13_Q1_wt",165.829,134.641,160.027
2,"F2_JPLL_A13_Q2_wt",59.73,68.175,60.369
3,"F3_JPLL_A13_Q3_wt",23.979,25.395,24.173
4,"F4_JPLL_A13_Q4_wt",111.985,124.485,116.177
9,"F9_JPLL_A2_Q1_wt",146.819,128.893,146.936
10,"F10_JPLL_A2_Q2_wt_9624",158.783,167.965,153.776
11,"F11_JPLL_A2_Q3_wt",181.381,172.218,181.703
12,"F12_JPLL_A2_Q4_wt",116.107,120.8,110.288
17,"F17_JPLL_A4_num",75.168,80.508,74.781
18,"F18_JPLL_A5_num",45.938,48.63,47.78
19,"F19_JPPL_A35_Q1",19.028,19.097,20.151
20,"F20_JPPL_A35_Q2",34.182,27.673,35.48
21,"F21_JPPL_A35_Q3",18.029,16.473,17.497
22,"F22_JPPL_A35_Q4",10.423,9.703,8.776
23,"F23_JPPL_A24",13.388,14.707,13.312
24,"F24_USLL_A35",36.581,36.899,36.866
25,"F25_USLL_A24",63.198,64.244,63.983
26,"F26_TWLL_A35",63.064,71.899,64.37
29,"F29_CNLL_A35",122.014,55.954,167.739
30,"F30_CNLL_A24",16.92,16.691,17.056
31,"F31_VULL_mt",33.296,35.82,36.855
34,"F34_EPOSF_xx24",70.062,64.623,72.073
35,"F35_JPTWKR_DNMisc",16.874,16.767,15.241
36,"S36_JPLL_idx_adult",17.14,6.315,7.086
