"type","Fleet","Fleet_Name","Yr","Seas","Nsamp_in","Nsamp_adj","effN"
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",1994,1,90.54,24.9184,25.2806
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",1995,1,1.04,0.286229,4.28679
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",1996,1,92.13,25.356,14.9895
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",1997,1,113.56,31.254,52.1572
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",1998,1,121.3,33.3842,102.618
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",1999,1,19.47,5.35853,16.4487
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2000,1,83.39,22.9506,222.491
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2001,1,151.26,41.6298,126.658
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2002,1,391.14,107.65,307.194
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2003,1,232.32,63.9391,162.195
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2004,1,246.15,67.7454,80.5031
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2005,1,342.26,94.1968,82.4922
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2006,1,283.38,77.9918,250.768
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2007,1,201.49,55.4541,264.592
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2008,1,291.31,80.1743,107.571
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2009,1,270.37,74.4112,499.894
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2010,1,232.98,64.1208,395.972
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2011,1,261.75,72.0388,448.301
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2012,1,298.33,82.1064,257.735
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2013,1,138.71,38.1758,202.926
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2014,1,164.52,45.2792,53.8685
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2015,1,253.56,69.7848,217.625
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2016,1,246.7,67.8968,200.948
"cvold=.06",1,"F1_JPLL_A13_Q1_wt",2017,1,199.39,54.8761,195.334
