"Fleet","Fleet_Name","Yr","Seas","2dAR off","base2026","No age sel","sigma_down.25","sigma_up.25"
1,"F1_JPLL_A13_Q1_wt",1994,1,17.218,25.28,12.653,19.244,34.176
1,"F1_JPLL_A13_Q1_wt",1995,1,3.877,4.287,4.17,4.029,4.698
1,"F1_JPLL_A13_Q1_wt",1996,1,6.686,14.989,6.429,9.664,17.355
1,"F1_JPLL_A13_Q1_wt",1997,1,29.147,52.157,32.862,34.837,62.438
1,"F1_JPLL_A13_Q1_wt",1998,1,37.014,102.617,44.1,43.556,161.249
1,"F1_JPLL_A13_Q1_wt",1999,1,14.416,16.449,12.024,14.824,21.739
1,"F1_JPLL_A13_Q1_wt",2000,1,202.482,222.49,137.008,205.467,267.782
1,"F1_JPLL_A13_Q1_wt",2001,1,64.552,126.658,59.075,66.748,208.827
1,"F1_JPLL_A13_Q1_wt",2002,1,56.11,307.196,45.388,175.433,232.213
1,"F1_JPLL_A13_Q1_wt",2003,1,114.808,162.194,97.004,112.17,240.175
1,"F1_JPLL_A13_Q1_wt",2004,1,44.427,80.503,39.588,57.139,104.153
1,"F1_JPLL_A13_Q1_wt",2005,1,60.049,82.492,44.408,67.974,96.438
1,"F1_JPLL_A13_Q1_wt",2006,1,74.143,250.767,66.236,135.369,322.374
1,"F1_JPLL_A13_Q1_wt",2007,1,250.501,264.592,133.012,248.439,363.924
1,"F1_JPLL_A13_Q1_wt",2008,1,44.457,107.571,41.348,68.183,158.854
1,"F1_JPLL_A13_Q1_wt",2009,1,162.498,499.895,183.245,211.151,699.16
1,"F1_JPLL_A13_Q1_wt",2010,1,116.189,395.973,112.507,179.351,705.391
1,"F1_JPLL_A13_Q1_wt",2011,1,133.647,448.302,178.624,303.657,525.862
1,"F1_JPLL_A13_Q1_wt",2012,1,141.973,257.735,119.551,185.556,327.769
1,"F1_JPLL_A13_Q1_wt",2013,1,174.664,202.924,108.794,161.641,324.277
1,"F1_JPLL_A13_Q1_wt",2014,1,40.526,53.868,35.007,44.377,65.859
1,"F1_JPLL_A13_Q1_wt",2015,1,40.408,217.624,35.513,82.46,529.661
1,"F1_JPLL_A13_Q1_wt",2016,1,66.289,200.948,81.551,107.112,300.81
1,"F1_JPLL_A13_Q1_wt",2017,1,113.501,195.333,114.899,137.028,247.96
1,"F1_JPLL_A13_Q1_wt",2018,1,57.2,91.714,60.506,73.133,111.265
1,"F1_JPLL_A13_Q1_wt",2019,1,26.6,70.26,30.416,35.308,105.206
1,"F1_JPLL_A13_Q1_wt",2020,1,26.522,176.215,29.276,52.08,399.005
1,"F1_JPLL_A13_Q1_wt",2021,1,21.09,64.338,19.352,35.588,76.898
1,"F1_JPLL_A13_Q1_wt",2022,1,13.628,41.306,15.327,27.498,48.81
1,"F1_JPLL_A13_Q1_wt",2023,1,137.133,360.635,132.692,222.761,428.743
1,"F1_JPLL_A13_Q1_wt",2024,1,17.91,43.402,17.21,25.482,62.159
2,"F2_JPLL_A13_Q2_wt",1996,2,16.336,12.227,15.393,15.755,10.576
