"variable","base2026","lensel only","sigma_down.25","sigma_up.25"
"F1_JPLL_A13_Q1_wt",0,183.546,0,0
"F2_JPLL_A13_Q2_wt",3.195,0,3.195,3.195
"F3_JPLL_A13_Q3_wt",0,0.03,0,0
"F4_JPLL_A13_Q4_wt",0,4.381,0.001,0.001
"F9_JPLL_A2_Q1_wt",0,2.157,0,0
"F10_JPLL_A2_Q2_wt_9624",0,1.084,0,0
"F11_JPLL_A2_Q3_wt",0,2.775,0,0
"F12_JPLL_A2_Q4_wt",0,1.729,0,0
"F17_JPLL_A4_num",0,0.391,0,0
"F18_JPLL_A5_num",0.047,0,0.047,0.047
"F19_JPPL_A35_Q1",0,0.382,0,0
"F20_JPPL_A35_Q2",0,75.358,0,0
"F21_JPPL_A35_Q3",0,42.775,0,0
"F22_JPPL_A35_Q4",0,12.805,0,0
"F23_JPPL_A24",0,0.115,0,0
"F24_USLL_A35",0,0.008,0,0
"F25_USLL_A24",0,0.461,0,0
"F26_TWLL_A35",0,1.546,0.001,0.001
"F29_CNLL_A35",0,0.016,0,0
"F34_EPOSF_xx24",0,36.431,0,0
