"type","Fleet","Fleet_Name","Yr","Seas","Nsamp_in","Nsamp_adj","effN"
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",1994,1,90.54,24.9184,25.2806
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",1995,1,1.04,0.286229,4.28679
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",1996,1,92.13,25.356,14.9895
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",1997,1,113.56,31.254,52.1572
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",1998,1,121.3,33.3842,102.618
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",1999,1,19.47,5.35853,16.4487
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2000,1,83.39,22.9506,222.491
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2001,1,151.26,41.6298,126.658
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2002,1,391.14,107.65,307.194
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2003,1,232.32,63.9391,162.195
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2004,1,246.15,67.7454,80.5031
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2005,1,342.26,94.1968,82.4922
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2006,1,283.38,77.9918,250.768
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2007,1,201.49,55.4541,264.592
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2008,1,291.31,80.1743,107.571
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2009,1,270.37,74.4112,499.894
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2010,1,232.98,64.1208,395.972
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2011,1,261.75,72.0388,448.301
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2012,1,298.33,82.1064,257.735
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2013,1,138.71,38.1758,202.926
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2014,1,164.52,45.2792,53.8685
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2015,1,253.56,69.7848,217.625
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2016,1,246.7,67.8968,200.948
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2017,1,199.39,54.8761,195.334
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2018,1,146.91,40.4326,91.7141
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2019,1,132.24,36.3951,70.2599
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2020,1,152.93,42.0894,176.216
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2021,1,184.29,50.7203,64.3384
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2022,1,191.86,52.8037,41.3059
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2023,1,196.68,54.1303,360.653
"sigma_down.25",1,"F1_JPLL_A13_Q1_wt",2024,1,77.44,21.313,43.403
"sigma_down.25",2,"F2_JPLL_A13_Q2_wt",1996,2,9.74,2.14572,12.2269
"sigma_down.25",2,"F2_JPLL_A13_Q2_wt",1997,2,22.66,4.992,54.6739
"sigma_down.25",2,"F2_JPLL_A13_Q2_wt",2000,2,1.16,0.255548,7.8696
"sigma_down.25",2,"F2_JPLL_A13_Q2_wt",2001,2,93.34,20.5628,61.5279
"sigma_down.25",2,"F2_JPLL_A13_Q2_wt",2002,2,171.01,37.6735,27.5371
"sigma_down.25",2,"F2_JPLL_A13_Q2_wt",2003,2,154.28,33.9879,52.742
"sigma_down.25",2,"F2_JPLL_A13_Q2_wt",2004,2,156.2,34.4109,24.4052
"sigma_down.25",2,"F2_JPLL_A13_Q2_wt",2005,2,317.81,70.0135,28.877
"sigma_down.25",2,"F2_JPLL_A13_Q2_wt",2006,2,215.61,47.4989,88.3022
"sigma_down.25",2,"F2_JPLL_A13_Q2_wt",2007,2,150.55,33.1662,251.597
