"Fleet","Fleet_Name","Yr","Seas","base2026","F10 and S34","F10 and S37","S36 only"
1,"F1_JPLL_A13_Q1_wt",1994,1,25.28,25.759,24.991,25.678
1,"F1_JPLL_A13_Q1_wt",1995,1,4.287,4.309,4.283,4.446
1,"F1_JPLL_A13_Q1_wt",1996,1,14.989,14.877,15.039,15.13
1,"F1_JPLL_A13_Q1_wt",1997,1,52.157,52.245,52.246,54.428
1,"F1_JPLL_A13_Q1_wt",1998,1,102.617,102.397,102.56,106.865
1,"F1_JPLL_A13_Q1_wt",1999,1,16.449,16.374,16.399,16.867
1,"F1_JPLL_A13_Q1_wt",2000,1,222.49,211.652,219.714,216.005
1,"F1_JPLL_A13_Q1_wt",2001,1,126.658,116.121,127.25,124.043
1,"F1_JPLL_A13_Q1_wt",2002,1,307.196,290.435,318.269,305.171
1,"F1_JPLL_A13_Q1_wt",2003,1,162.194,166.344,160.767,159.805
1,"F1_JPLL_A13_Q1_wt",2004,1,80.503,80.968,79.723,80.098
1,"F1_JPLL_A13_Q1_wt",2005,1,82.492,83.021,81.902,82.736
1,"F1_JPLL_A13_Q1_wt",2006,1,250.767,231.173,258.031,251.022
1,"F1_JPLL_A13_Q1_wt",2007,1,264.592,258.189,265.014,265.064
1,"F1_JPLL_A13_Q1_wt",2008,1,107.571,107.354,106.646,108.267
1,"F1_JPLL_A13_Q1_wt",2009,1,499.895,485.903,497.333,507.844
1,"F1_JPLL_A13_Q1_wt",2010,1,395.973,391.557,414.785,395.891
1,"F1_JPLL_A13_Q1_wt",2011,1,448.302,468.781,474.381,457.005
1,"F1_JPLL_A13_Q1_wt",2012,1,257.735,253.439,257.011,256.962
1,"F1_JPLL_A13_Q1_wt",2013,1,202.924,209.328,209.797,202.903
1,"F1_JPLL_A13_Q1_wt",2014,1,53.868,54.396,53.73,53.747
1,"F1_JPLL_A13_Q1_wt",2015,1,217.624,225.778,219.308,218.385
1,"F1_JPLL_A13_Q1_wt",2016,1,200.948,197.335,202.415,199.537
1,"F1_JPLL_A13_Q1_wt",2017,1,195.333,201.907,199.317,196.181
1,"F1_JPLL_A13_Q1_wt",2018,1,91.714,92.019,91.184,90.957
1,"F1_JPLL_A13_Q1_wt",2019,1,70.26,70.646,69.262,71.174
1,"F1_JPLL_A13_Q1_wt",2020,1,176.215,177.031,161.29,162.606
1,"F1_JPLL_A13_Q1_wt",2021,1,64.338,63.496,63.709,64.178
1,"F1_JPLL_A13_Q1_wt",2022,1,41.306,41.25,40.9,40.65
