"variable","base2026","F10 and S34","F10 and S37","S36 only"
"F1_JPLL_A13_Q1_wt",0.963,0.942,0.816,0
"F2_JPLL_A13_Q2_wt",0,1.259,0.489,1.311
"F3_JPLL_A13_Q3_wt",0.138,0.405,0.229,0
"F4_JPLL_A13_Q4_wt",0.727,2.404,0.91,0
"F9_JPLL_A2_Q1_wt",1.684,3.154,3.659,0
"F10_JPLL_A2_Q2_wt_9624",0.284,0.251,0.655,0
"F11_JPLL_A2_Q3_wt",0.374,1.733,1.033,0
"F12_JPLL_A2_Q4_wt",0,0.796,0.722,0.525
"F17_JPLL_A4_num",0,0.048,0.12,1.049
"F18_JPLL_A5_num",0.052,0.024,0,0.123
"F19_JPPL_A35_Q1",0.154,0,0.17,0.235
"F20_JPPL_A35_Q2",0.041,0,0.211,0.204
"F21_JPPL_A35_Q3",0.505,0,0.607,0.565
"F22_JPPL_A35_Q4",0.2,0.537,0.03,0
"F23_JPPL_A24",0.022,0.178,0.14,0
"F24_USLL_A35",0.15,0,0.241,0.279
"F25_USLL_A24",0,0.034,0.158,1.563
"F26_TWLL_A35",3.432,1.601,0,1.62
"F29_CNLL_A35",0,0.006,0.002,0.001
"F34_EPOSF_xx24",0.62,3.768,1.35,0
