"type","Fleet","Fleet_Name","Yr","Seas","Nsamp_in","Nsamp_adj","effN"
"S36 only",1,"F1_JPLL_A13_Q1_wt",1994,1,90.54,24.9184,25.6781
"S36 only",1,"F1_JPLL_A13_Q1_wt",1995,1,1.04,0.286229,4.44562
"S36 only",1,"F1_JPLL_A13_Q1_wt",1996,1,92.13,25.356,15.1295
"S36 only",1,"F1_JPLL_A13_Q1_wt",1997,1,113.56,31.254,54.428
"S36 only",1,"F1_JPLL_A13_Q1_wt",1998,1,121.3,33.3842,106.865
"S36 only",1,"F1_JPLL_A13_Q1_wt",1999,1,19.47,5.35853,16.8672
"S36 only",1,"F1_JPLL_A13_Q1_wt",2000,1,83.39,22.9506,216.005
"S36 only",1,"F1_JPLL_A13_Q1_wt",2001,1,151.26,41.6298,124.043
"S36 only",1,"F1_JPLL_A13_Q1_wt",2002,1,391.14,107.65,305.171
"S36 only",1,"F1_JPLL_A13_Q1_wt",2003,1,232.32,63.9391,159.805
"S36 only",1,"F1_JPLL_A13_Q1_wt",2004,1,246.15,67.7454,80.0984
"S36 only",1,"F1_JPLL_A13_Q1_wt",2005,1,342.26,94.1968,82.7358
"S36 only",1,"F1_JPLL_A13_Q1_wt",2006,1,283.38,77.9918,251.022
"S36 only",1,"F1_JPLL_A13_Q1_wt",2007,1,201.49,55.4541,265.064
"S36 only",1,"F1_JPLL_A13_Q1_wt",2008,1,291.31,80.1743,108.267
"S36 only",1,"F1_JPLL_A13_Q1_wt",2009,1,270.37,74.4112,507.844
"S36 only",1,"F1_JPLL_A13_Q1_wt",2010,1,232.98,64.1208,395.891
"S36 only",1,"F1_JPLL_A13_Q1_wt",2011,1,261.75,72.0388,457.005
"S36 only",1,"F1_JPLL_A13_Q1_wt",2012,1,298.33,82.1064,256.962
"S36 only",1,"F1_JPLL_A13_Q1_wt",2013,1,138.71,38.1758,202.903
"S36 only",1,"F1_JPLL_A13_Q1_wt",2014,1,164.52,45.2792,53.7473
"S36 only",1,"F1_JPLL_A13_Q1_wt",2015,1,253.56,69.7848,218.385
"S36 only",1,"F1_JPLL_A13_Q1_wt",2016,1,246.7,67.8968,199.537
"S36 only",1,"F1_JPLL_A13_Q1_wt",2017,1,199.39,54.8761,196.181
"S36 only",1,"F1_JPLL_A13_Q1_wt",2018,1,146.91,40.4326,90.9569
"S36 only",1,"F1_JPLL_A13_Q1_wt",2019,1,132.24,36.3951,71.1735
"S36 only",1,"F1_JPLL_A13_Q1_wt",2020,1,152.93,42.0894,162.606
"S36 only",1,"F1_JPLL_A13_Q1_wt",2021,1,184.29,50.7203,64.1778
"S36 only",1,"F1_JPLL_A13_Q1_wt",2022,1,191.86,52.8037,40.6497
"S36 only",1,"F1_JPLL_A13_Q1_wt",2023,1,196.68,54.1303,348.587
"S36 only",1,"F1_JPLL_A13_Q1_wt",2024,1,77.44,21.313,43.4484
"S36 only",2,"F2_JPLL_A13_Q2_wt",1996,2,9.74,2.14572,12.9972
"S36 only",2,"F2_JPLL_A13_Q2_wt",1997,2,22.66,4.992,51.8489
"S36 only",2,"F2_JPLL_A13_Q2_wt",2000,2,1.16,0.255548,7.79066
"S36 only",2,"F2_JPLL_A13_Q2_wt",2001,2,93.34,20.5628,62.8064
"S36 only",2,"F2_JPLL_A13_Q2_wt",2002,2,171.01,37.6735,26.659
"S36 only",2,"F2_JPLL_A13_Q2_wt",2003,2,154.28,33.9879,52.4404
"S36 only",2,"F2_JPLL_A13_Q2_wt",2004,2,156.2,34.4109,24.0667
"S36 only",2,"F2_JPLL_A13_Q2_wt",2005,2,317.81,70.0135,28.494
"S36 only",2,"F2_JPLL_A13_Q2_wt",2006,2,215.61,47.4989,88.6709
"S36 only",2,"F2_JPLL_A13_Q2_wt",2007,2,150.55,33.1662,251.167
"S36 only",2,"F2_JPLL_A13_Q2_wt",2008,2,182.61,40.229,51.5723
"S36 only",2,"F2_JPLL_A13_Q2_wt",2009,2,152.31,33.5539,92.5166
"S36 only",2,"F2_JPLL_A13_Q2_wt",2010,2,109.97,24.2264,105.53
"S36 only",2,"F2_JPLL_A13_Q2_wt",2011,2,128.75,28.3636,46.4776
"S36 only",2,"F2_JPLL_A13_Q2_wt",2012,2,120.39,26.5219,98.5722
"S36 only",2,"F2_JPLL_A13_Q2_wt",2013,2,93.57,20.6135,90.2774
"S36 only",2,"F2_JPLL_A13_Q2_wt",2014,2,89.49,19.7146,56.6569
"S36 only",2,"F2_JPLL_A13_Q2_wt",2015,2,80.71,17.7804,56.1247
"S36 only",2,"F2_JPLL_A13_Q2_wt",2016,2,84.47,18.6087,34.8213
"S36 only",2,"F2_JPLL_A13_Q2_wt",2017,2,65.57,14.4451,63.2572
"S36 only",2,"F2_JPLL_A13_Q2_wt",2018,2,37.79,8.32514,26.4365
"S36 only",2,"F2_JPLL_A13_Q2_wt",2019,2,38.18,8.41105,50.8831
"S36 only",2,"F2_JPLL_A13_Q2_wt",2020,2,47.99,10.5722,145.08
"S36 only",2,"F2_JPLL_A13_Q2_wt",2021,2,94.24,20.7611,10.5377
"S36 only",2,"F2_JPLL_A13_Q2_wt",2022,2,44.87,9.88486,5.65782
"S36 only",2,"F2_JPLL_A13_Q2_wt",2023,2,52.51,11.568,49.0108
"S36 only",2,"F2_JPLL_A13_Q2_wt",2024,2,46.62,10.2704,18.0623
"S36 only",3,"F3_JPLL_A13_Q3_wt",2000,3,1.06,0.291733,42.0268
"S36 only",3,"F3_JPLL_A13_Q3_wt",2001,3,15.03,4.13656,11.8873
"S36 only",3,"F3_JPLL_A13_Q3_wt",2002,3,9.45,2.60083,24.627
"S36 only",3,"F3_JPLL_A13_Q3_wt",2003,3,8.19,2.25405,9.84534
"S36 only",3,"F3_JPLL_A13_Q3_wt",2004,3,2.9,0.798138,8.00402
"S36 only",3,"F3_JPLL_A13_Q3_wt",2005,3,16.29,4.48333,35.4363
"S36 only",3,"F3_JPLL_A13_Q3_wt",2006,3,4.86,1.33757,17.5518
"S36 only",3,"F3_JPLL_A13_Q3_wt",2007,3,8.8,2.42194,28.3394
"S36 only",3,"F3_JPLL_A13_Q3_wt",2008,3,1.16,0.319255,52.5094
"S36 only",3,"F3_JPLL_A13_Q3_wt",2009,3,1.17,0.322007,9.17626
"S36 only",3,"F3_JPLL_A13_Q3_wt",2010,3,4.67,1.28528,37.8006
"S36 only",3,"F3_JPLL_A13_Q3_wt",2011,3,11.53,3.17329,24.3386
"S36 only",3,"F3_JPLL_A13_Q3_wt",2012,3,3.91,1.07611,17.41
"S36 only",3,"F3_JPLL_A13_Q3_wt",2013,3,5.32,1.46417,46.2128
"S36 only",3,"F3_JPLL_A13_Q3_wt",2014,3,4.26,1.17244,12.8585
"S36 only",3,"F3_JPLL_A13_Q3_wt",2015,3,20.97,5.77136,19.558
"S36 only",3,"F3_JPLL_A13_Q3_wt",2016,3,6.01,1.65407,32.559
"S36 only",3,"F3_JPLL_A13_Q3_wt",2017,3,0.98,0.269716,19.275
"S36 only",3,"F3_JPLL_A13_Q3_wt",2018,3,0.56,0.154123,11.8661
"S36 only",3,"F3_JPLL_A13_Q3_wt",2019,3,3.89,1.07061,11.7813
"S36 only",3,"F3_JPLL_A13_Q3_wt",2020,3,2.13,0.586219,25.3169
"S36 only",3,"F3_JPLL_A13_Q3_wt",2021,3,0.85,0.233937,22.1476
"S36 only",3,"F3_JPLL_A13_Q3_wt",2022,3,3.4,0.935748,28.4413
"S36 only",3,"F3_JPLL_A13_Q3_wt",2023,3,2.33,0.641263,12.7627
"S36 only",3,"F3_JPLL_A13_Q3_wt",2024,3,5.18,1.42564,40.0986
"S36 only",4,"F4_JPLL_A13_Q4_wt",1996,4,13.35,3.67419,25.7458
"S36 only",4,"F4_JPLL_A13_Q4_wt",1999,4,27.9,7.67864,69.0803
"S36 only",4,"F4_JPLL_A13_Q4_wt",2000,4,28.08,7.72818,51.946
"S36 only",4,"F4_JPLL_A13_Q4_wt",2001,4,177.59,48.8763,338.662
"S36 only",4,"F4_JPLL_A13_Q4_wt",2002,4,107.96,29.7128,23.2595
"S36 only",4,"F4_JPLL_A13_Q4_wt",2003,4,114.86,31.6118,42.9554
"S36 only",4,"F4_JPLL_A13_Q4_wt",2004,4,127.64,35.1291,144.12
"S36 only",4,"F4_JPLL_A13_Q4_wt",2005,4,195.26,53.7395,44.9932
"S36 only",4,"F4_JPLL_A13_Q4_wt",2006,4,177.92,48.9671,111.213
"S36 only",4,"F4_JPLL_A13_Q4_wt",2007,4,206.57,56.8522,365.69
"S36 only",4,"F4_JPLL_A13_Q4_wt",2008,4,78.8,21.6873,98.2217
"S36 only",4,"F4_JPLL_A13_Q4_wt",2009,4,131.01,36.0566,309.572
"S36 only",4,"F4_JPLL_A13_Q4_wt",2010,4,93.89,25.8404,76.7761
"S36 only",4,"F4_JPLL_A13_Q4_wt",2011,4,144.18,39.6812,134.711
"S36 only",4,"F4_JPLL_A13_Q4_wt",2012,4,94.43,25.989,84.8345
"S36 only",4,"F4_JPLL_A13_Q4_wt",2013,4,89.55,24.646,35.2926
"S36 only",4,"F4_JPLL_A13_Q4_wt",2014,4,142.85,39.3152,119.098
"S36 only",4,"F4_JPLL_A13_Q4_wt",2015,4,178.28,49.0662,84.1462
"S36 only",4,"F4_JPLL_A13_Q4_wt",2016,4,100.33,27.6128,70.1528
"S36 only",4,"F4_JPLL_A13_Q4_wt",2017,4,81.23,22.3561,248.173
"S36 only",4,"F4_JPLL_A13_Q4_wt",2018,4,58.7,16.1554,210.674
"S36 only",4,"F4_JPLL_A13_Q4_wt",2019,4,172.18,47.3874,106.984
"S36 only",4,"F4_JPLL_A13_Q4_wt",2020,4,101.19,27.8495,79.8456
"S36 only",4,"F4_JPLL_A13_Q4_wt",2021,4,57.23,15.7508,54.025
"S36 only",4,"F4_JPLL_A13_Q4_wt",2022,4,77.08,21.214,48.9199
"S36 only",4,"F4_JPLL_A13_Q4_wt",2023,4,27.6,7.59607,28.1305
"S36 only",4,"F4_JPLL_A13_Q4_wt",2024,4,24.67,6.78968,32.1954
"S36 only",9,"F9_JPLL_A2_Q1_wt",1994,1,45.41,12.4977,63.6095
"S36 only",9,"F9_JPLL_A2_Q1_wt",1996,1,20.33,5.59522,57.303
"S36 only",9,"F9_JPLL_A2_Q1_wt",1997,1,35.08,9.65472,43.4563
"S36 only",9,"F9_JPLL_A2_Q1_wt",1999,1,25.9,7.1282,57.6306
"S36 only",9,"F9_JPLL_A2_Q1_wt",2000,1,26.83,7.38415,55.8977
"S36 only",9,"F9_JPLL_A2_Q1_wt",2001,1,36.98,10.1776,266.244
"S36 only",9,"F9_JPLL_A2_Q1_wt",2002,1,104.61,28.7908,640.536
"S36 only",9,"F9_JPLL_A2_Q1_wt",2003,1,152.5,41.9711,228.649
"S36 only",9,"F9_JPLL_A2_Q1_wt",2004,1,59.66,16.4196,79.196
"S36 only",9,"F9_JPLL_A2_Q1_wt",2005,1,52.27,14.3857,103.188
"S36 only",9,"F9_JPLL_A2_Q1_wt",2006,1,93.11,25.6257,120.029
"S36 only",9,"F9_JPLL_A2_Q1_wt",2007,1,103.49,28.4825,73.1106
"S36 only",9,"F9_JPLL_A2_Q1_wt",2008,1,68.31,18.8003,135.597
"S36 only",9,"F9_JPLL_A2_Q1_wt",2009,1,49.41,13.5986,98.1218
"S36 only",9,"F9_JPLL_A2_Q1_wt",2010,1,58.13,15.9985,341.335
"S36 only",9,"F9_JPLL_A2_Q1_wt",2011,1,61.4,16.8985,95.9942
"S36 only",9,"F9_JPLL_A2_Q1_wt",2012,1,61.23,16.8517,103.636
"S36 only",9,"F9_JPLL_A2_Q1_wt",2013,1,35.54,9.78132,287.829
"S36 only",9,"F9_JPLL_A2_Q1_wt",2014,1,32.39,8.91438,151.289
"S36 only",9,"F9_JPLL_A2_Q1_wt",2015,1,130.79,35.996,440.531
"S36 only",9,"F9_JPLL_A2_Q1_wt",2016,1,104.54,28.7715,218.532
"S36 only",9,"F9_JPLL_A2_Q1_wt",2017,1,47.36,13.0344,85.0437
"S36 only",9,"F9_JPLL_A2_Q1_wt",2018,1,72.37,19.9177,156.56
"S36 only",9,"F9_JPLL_A2_Q1_wt",2019,1,130.07,35.7979,133.306
"S36 only",9,"F9_JPLL_A2_Q1_wt",2020,1,18.64,5.1301,24.1768
"S36 only",9,"F9_JPLL_A2_Q1_wt",2021,1,24.14,6.64381,36.8548
"S36 only",9,"F9_JPLL_A2_Q1_wt",2022,1,14.79,4.0705,283.381
"S36 only",9,"F9_JPLL_A2_Q1_wt",2023,1,17.54,4.82736,34.9918
"S36 only",9,"F9_JPLL_A2_Q1_wt",2024,1,22.31,6.14016,52.2308
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2000,2,5.01,1.37885,27.0205
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2001,2,39.24,10.7996,160.935
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2002,2,72.89,20.0608,280.703
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2003,2,53.37,14.6885,15.7757
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2004,2,52.41,14.4243,252.854
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2005,2,51.36,14.1353,96.6798
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2006,2,33.2,9.1373,96.4843
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2007,2,18.52,5.09707,97.9185
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2008,2,43.56,11.9886,61.6448
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2009,2,42.29,11.6391,180.814
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2010,2,48.58,13.3702,576.817
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2011,2,84.13,23.1543,95.5465
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2012,2,83.22,22.9038,78.0042
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2013,2,75.35,20.7378,381.106
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2014,2,79.88,21.9846,445.396
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2015,2,155.66,42.8407,141.407
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2016,2,81.2,22.3479,260.193
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2017,2,66.65,18.3434,141.761
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2018,2,77.73,21.3929,160.312
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2019,2,84.57,23.2754,128.904
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2020,2,52.17,14.3582,233.819
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2021,2,77.36,21.291,35.2747
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2022,2,65.69,18.0792,107.681
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2023,2,45.82,12.6106,19.8068
"S36 only",10,"F10_JPLL_A2_Q2_wt_9624",2024,2,32.74,9.0107,55.0072
"S36 only",11,"F11_JPLL_A2_Q3_wt",2001,3,64.63,17.7875,216.068
"S36 only",11,"F11_JPLL_A2_Q3_wt",2002,3,36.31,9.99324,103.683
"S36 only",11,"F11_JPLL_A2_Q3_wt",2003,3,55.74,15.3408,71.4325
"S36 only",11,"F11_JPLL_A2_Q3_wt",2004,3,56.73,15.6132,153.852
"S36 only",11,"F11_JPLL_A2_Q3_wt",2005,3,69.45,19.114,75.1121
"S36 only",11,"F11_JPLL_A2_Q3_wt",2006,3,33.77,9.29418,170.471
"S36 only",11,"F11_JPLL_A2_Q3_wt",2007,3,65.77,18.1012,101.771
"S36 only",11,"F11_JPLL_A2_Q3_wt",2008,3,57.09,15.7123,56.2994
"S36 only",11,"F11_JPLL_A2_Q3_wt",2009,3,58.83,16.1912,108.728
"S36 only",11,"F11_JPLL_A2_Q3_wt",2010,3,59.15,16.2793,149.003
"S36 only",11,"F11_JPLL_A2_Q3_wt",2011,3,45.92,12.6381,1189.44
"S36 only",11,"F11_JPLL_A2_Q3_wt",2012,3,66.16,18.2086,246.02
"S36 only",11,"F11_JPLL_A2_Q3_wt",2013,3,109.29,30.0788,196.993
"S36 only",11,"F11_JPLL_A2_Q3_wt",2014,3,140.97,38.7978,199.121
"S36 only",11,"F11_JPLL_A2_Q3_wt",2015,3,81.02,22.2983,201.67
"S36 only",11,"F11_JPLL_A2_Q3_wt",2016,3,117.07,32.22,222.761
"S36 only",11,"F11_JPLL_A2_Q3_wt",2017,3,116.75,32.1319,251.878
"S36 only",11,"F11_JPLL_A2_Q3_wt",2018,3,91.1,25.0725,261.788
"S36 only",11,"F11_JPLL_A2_Q3_wt",2019,3,143.68,39.5436,134.038
"S36 only",11,"F11_JPLL_A2_Q3_wt",2020,3,52.09,14.3362,9.40311
"S36 only",11,"F11_JPLL_A2_Q3_wt",2021,3,69.94,19.2489,47.7835
"S36 only",11,"F11_JPLL_A2_Q3_wt",2022,3,57.2,15.7426,51.0839
"S36 only",11,"F11_JPLL_A2_Q3_wt",2023,3,71.85,19.7746,19.6121
"S36 only",11,"F11_JPLL_A2_Q3_wt",2024,3,79.67,21.9268,160.985
"S36 only",12,"F12_JPLL_A2_Q4_wt",1994,4,2.07,0.569705,43.9191
"S36 only",12,"F12_JPLL_A2_Q4_wt",1996,4,12.02,3.30814,42.697
"S36 only",12,"F12_JPLL_A2_Q4_wt",1997,4,7.88,2.16873,44.2984
"S36 only",12,"F12_JPLL_A2_Q4_wt",1999,4,6.26,1.72288,47.9581
"S36 only",12,"F12_JPLL_A2_Q4_wt",2001,4,87.86,24.1808,199.163
"S36 only",12,"F12_JPLL_A2_Q4_wt",2002,4,58.81,16.1857,105.686
"S36 only",12,"F12_JPLL_A2_Q4_wt",2003,4,70.3,19.348,41.2605
"S36 only",12,"F12_JPLL_A2_Q4_wt",2004,4,5.08,1.39812,71.3665
"S36 only",12,"F12_JPLL_A2_Q4_wt",2005,4,54.27,14.9362,51.1354
"S36 only",12,"F12_JPLL_A2_Q4_wt",2006,4,21.78,5.99429,255.644
"S36 only",12,"F12_JPLL_A2_Q4_wt",2007,4,26.63,7.32911,62.2649
