"Fleet","Fleet_Name","Yr","Seas","base","JPLLA35_USLLA24","JPPLA35_JPLLA13","JPPLA35_TWLLA35","TWLLA35_EPOSF"
1,"F1_JPLL_A13_Q1_wt",1994,1,25.28,25.201,25.207,25.494,25.188
1,"F1_JPLL_A13_Q1_wt",1995,1,4.287,4.286,4.287,4.293,4.288
1,"F1_JPLL_A13_Q1_wt",1996,1,14.989,14.985,14.999,14.958,15.013
1,"F1_JPLL_A13_Q1_wt",1997,1,52.157,51.87,51.911,52.944,51.828
1,"F1_JPLL_A13_Q1_wt",1998,1,102.617,102.943,103.036,101.683,103.304
1,"F1_JPLL_A13_Q1_wt",1999,1,16.449,16.491,16.477,16.352,16.487
1,"F1_JPLL_A13_Q1_wt",2000,1,222.49,223.068,222.155,221.889,222.23
1,"F1_JPLL_A13_Q1_wt",2001,1,126.658,126.816,126.787,126.298,127.045
1,"F1_JPLL_A13_Q1_wt",2002,1,307.196,306.523,307.759,305.638,308.413
1,"F1_JPLL_A13_Q1_wt",2003,1,162.194,162.415,161.994,162.454,161.891
1,"F1_JPLL_A13_Q1_wt",2004,1,80.503,80.537,80.522,80.537,80.454
1,"F1_JPLL_A13_Q1_wt",2005,1,82.492,82.441,82.368,82.685,82.336
1,"F1_JPLL_A13_Q1_wt",2006,1,250.767,250.329,250.602,250.924,250.698
1,"F1_JPLL_A13_Q1_wt",2007,1,264.592,264.773,264.341,265.335,263.975
1,"F1_JPLL_A13_Q1_wt",2008,1,107.571,107.537,107.586,107.677,107.561
1,"F1_JPLL_A13_Q1_wt",2009,1,499.895,499.697,500.855,497.903,501.245
1,"F1_JPLL_A13_Q1_wt",2010,1,395.973,395.915,395.503,397.772,394.875
1,"F1_JPLL_A13_Q1_wt",2011,1,448.302,447.507,447.763,449.944,447.854
1,"F1_JPLL_A13_Q1_wt",2012,1,257.735,257.987,257.883,257.529,257.885
1,"F1_JPLL_A13_Q1_wt",2013,1,202.924,203.074,202.404,203.997,202.038
1,"F1_JPLL_A13_Q1_wt",2014,1,53.868,53.875,53.818,53.989,53.783
1,"F1_JPLL_A13_Q1_wt",2015,1,217.624,217.546,217.425,217.707,217.413
1,"F1_JPLL_A13_Q1_wt",2016,1,200.948,200.998,201.031,201.027,201.038
1,"F1_JPLL_A13_Q1_wt",2017,1,195.333,195.48,195.444,194.905,195.524
1,"F1_JPLL_A13_Q1_wt",2018,1,91.714,91.82,91.816,91.534,91.853
1,"F1_JPLL_A13_Q1_wt",2019,1,70.26,70.267,70.249,70.205,70.24
1,"F1_JPLL_A13_Q1_wt",2020,1,176.215,175.927,175.569,177.569,175.32
1,"F1_JPLL_A13_Q1_wt",2021,1,64.338,64.347,64.318,64.375,64.328
1,"F1_JPLL_A13_Q1_wt",2022,1,41.306,41.289,41.289,41.336,41.275
1,"F1_JPLL_A13_Q1_wt",2023,1,360.635,361.014,360.805,360.472,360.861
1,"F1_JPLL_A13_Q1_wt",2024,1,43.402,43.423,43.373,43.432,43.391
2,"F2_JPLL_A13_Q2_wt",1996,2,12.227,12.32,12.288,12.012,12.32
2,"F2_JPLL_A13_Q2_wt",1997,2,54.674,54.255,54.203,56.566,54.032
2,"F2_JPLL_A13_Q2_wt",2000,2,7.87,7.866,7.862,7.892,7.857
2,"F2_JPLL_A13_Q2_wt",2001,2,61.528,62.056,62.3,59.474,62.952
2,"F2_JPLL_A13_Q2_wt",2002,2,27.537,27.57,27.508,27.554,27.529
2,"F2_JPLL_A13_Q2_wt",2003,2,52.742,52.807,52.843,52.492,53.038
2,"F2_JPLL_A13_Q2_wt",2004,2,24.405,24.311,24.333,24.648,24.231
2,"F2_JPLL_A13_Q2_wt",2005,2,28.877,28.815,28.744,29.141,28.686
2,"F2_JPLL_A13_Q2_wt",2006,2,88.302,88.459,88.525,88.07,88.467
2,"F2_JPLL_A13_Q2_wt",2007,2,251.599,251.283,249.393,255.231,248.83
2,"F2_JPLL_A13_Q2_wt",2008,2,51.672,51.675,51.652,51.777,51.642
2,"F2_JPLL_A13_Q2_wt",2009,2,90.203,90.406,90.806,88.784,91.18
2,"F2_JPLL_A13_Q2_wt",2010,2,101.309,101.648,101.253,102.105,101.174
2,"F2_JPLL_A13_Q2_wt",2011,2,47.518,47.745,47.738,47.226,47.824
2,"F2_JPLL_A13_Q2_wt",2012,2,98.333,98.414,98.092,98.867,97.979
2,"F2_JPLL_A13_Q2_wt",2013,2,91.104,91.136,91.006,91.255,90.954
2,"F2_JPLL_A13_Q2_wt",2014,2,56.067,55.981,55.83,56.512,55.743
2,"F2_JPLL_A13_Q2_wt",2015,2,54.985,54.878,54.78,55.264,54.715
2,"F2_JPLL_A13_Q2_wt",2016,2,34.08,34.038,33.959,34.281,33.906
2,"F2_JPLL_A13_Q2_wt",2017,2,62.936,62.951,62.906,63.149,62.817
2,"F2_JPLL_A13_Q2_wt",2018,2,26.012,25.99,25.931,26.183,25.892
2,"F2_JPLL_A13_Q2_wt",2019,2,47.399,47.455,47.395,47.319,47.444
2,"F2_JPLL_A13_Q2_wt",2020,2,157.238,157.308,157.13,157.639,157.034
2,"F2_JPLL_A13_Q2_wt",2021,2,10.697,10.69,10.658,10.774,10.644
