"Fleet","Fleet_Name","base","JPLLA35_USLLA24","JPPLA35_JPLLA13","JPPLA35_TWLLA35","TWLLA35_EPOSF"
1,"F1_JPLL_A13_Q1_wt",165.829,165.819,165.793,165.899,165.795
2,"F2_JPLL_A13_Q2_wt",59.73,59.761,59.655,59.898,59.65
3,"F3_JPLL_A13_Q3_wt",23.979,24,24.028,23.879,24.055
4,"F4_JPLL_A13_Q4_wt",111.985,112.13,112.404,111.164,112.629
9,"F9_JPLL_A2_Q1_wt",146.819,146.917,147.803,147.076,147.159
10,"F10_JPLL_A2_Q2_wt_9624",158.783,158.737,158.245,160.02,157.97
11,"F11_JPLL_A2_Q3_wt",181.381,181.067,180.368,183.816,179.968
12,"F12_JPLL_A2_Q4_wt",116.107,116.116,115.801,116.913,115.652
17,"F17_JPLL_A4_num",75.168,75.243,75.317,74.887,75.343
18,"F18_JPLL_A5_num",45.938,46.027,46.265,45.168,46.407
19,"F19_JPPL_A35_Q1",19.028,19.615,18.349,18.876,19.002
20,"F20_JPPL_A35_Q2",34.182,34.245,34.375,33.785,34.47
21,"F21_JPPL_A35_Q3",18.029,18.061,18.008,17.864,18.153
22,"F22_JPPL_A35_Q4",10.423,10.438,10.403,10.349,10.409
23,"F23_JPPL_A24",13.388,13.361,13.355,13.47,13.342
24,"F24_USLL_A35",36.581,36.593,36.583,36.536,36.566
25,"F25_USLL_A24",63.198,63.064,63.435,62.071,63.48
26,"F26_TWLL_A35",63.064,62.869,62.555,64.04,62.309
29,"F29_CNLL_A35",122.014,125.473,125.221,118.48,126.025
30,"F30_CNLL_A24",16.92,16.877,16.784,17.2,16.714
31,"F31_VULL_mt",33.296,33.443,33.788,32.49,33.995
34,"F34_EPOSF_xx24",70.062,70.011,70.169,69.959,70.148
35,"F35_JPTWKR_DNMisc",16.874,17.489,15.128,16.921,16.304
36,"S36_JPLL_idx_adult",17.14,6.733,6.783,6.516,6.82
