"Label","variable","value","minval","delta"
"Length_comp","TWLLA35_EPOSF",1212.71,1212.09,0.62
"Length_comp","JPPLA35_JPLLA13",1212.74,1212.09,0.65
"Length_comp","JPPLA35_TWLLA35",1213.44,1212.09,1.35
"Length_comp","JPLLA35_USLLA24",1212.09,1212.09,0
"Length_comp","base",1212.18,1212.09,0.09
"Survey","TWLLA35_EPOSF",-26.152,-26.178,0.026
"Survey","JPPLA35_JPLLA13",-26.146,-26.178,0.031
"Survey","JPPLA35_TWLLA35",-26.178,-26.178,0
"Survey","JPLLA35_USLLA24",-26.127,-26.178,0.051
"Survey","base",-26.134,-26.178,0.044
"TOTAL","TWLLA35_EPOSF",1646.86,1646.02,0.84
"TOTAL","JPPLA35_JPLLA13",1646.79,1646.02,0.77
"TOTAL","JPPLA35_TWLLA35",1647.32,1646.02,1.3
"TOTAL","JPLLA35_USLLA24",1646.02,1646.02,0
"TOTAL","base",1646.18,1646.02,0.16
"InitF_seas_1_flt_1F1_JPLL_A13_Q1_wt","TWLLA35_EPOSF",NA,NA,NA
"InitF_seas_1_flt_1F1_JPLL_A13_Q1_wt","JPPLA35_JPLLA13",0.69,NA,NA
"InitF_seas_1_flt_1F1_JPLL_A13_Q1_wt","JPPLA35_TWLLA35",NA,NA,NA
"InitF_seas_1_flt_1F1_JPLL_A13_Q1_wt","JPLLA35_USLLA24",NA,NA,NA
"InitF_seas_1_flt_1F1_JPLL_A13_Q1_wt","base",NA,NA,NA
"InitF_seas_1_flt_25F25_USLL_A24","TWLLA35_EPOSF",NA,NA,NA
"InitF_seas_1_flt_25F25_USLL_A24","JPPLA35_JPLLA13",NA,NA,NA
"InitF_seas_1_flt_25F25_USLL_A24","JPPLA35_TWLLA35",NA,NA,NA
"InitF_seas_1_flt_25F25_USLL_A24","JPLLA35_USLLA24",20,NA,NA
"InitF_seas_1_flt_25F25_USLL_A24","base",NA,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","TWLLA35_EPOSF",1.096,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","JPPLA35_JPLLA13",1.114,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","JPPLA35_TWLLA35",1.49,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","JPLLA35_USLLA24",0.991,NA,NA
"InitF_seas_1_flt_26F26_TWLL_A35","base",1.329,NA,NA
"InitF_seas_1_flt_34F34_EPOSF_xx24","TWLLA35_EPOSF",0.743,NA,NA
"InitF_seas_1_flt_34F34_EPOSF_xx24","JPPLA35_JPLLA13",NA,NA,NA
"InitF_seas_1_flt_34F34_EPOSF_xx24","JPPLA35_TWLLA35",NA,NA,NA
"InitF_seas_1_flt_34F34_EPOSF_xx24","JPLLA35_USLLA24",NA,NA,NA
"InitF_seas_1_flt_34F34_EPOSF_xx24","base",NA,NA,NA
"InitF_seas_2_flt_20F20_JPPL_A35_Q2","TWLLA35_EPOSF",NA,NA,NA
"InitF_seas_2_flt_20F20_JPPL_A35_Q2","JPPLA35_JPLLA13",NA,NA,NA
"InitF_seas_2_flt_20F20_JPPL_A35_Q2","JPPLA35_TWLLA35",0.547,NA,NA
"InitF_seas_2_flt_20F20_JPPL_A35_Q2","JPLLA35_USLLA24",NA,NA,NA
"InitF_seas_2_flt_20F20_JPPL_A35_Q2","base",NA,NA,NA
"SR_LN(R0)","TWLLA35_EPOSF",12.168,NA,NA
"SR_LN(R0)","JPPLA35_JPLLA13",12.152,NA,NA
"SR_LN(R0)","JPPLA35_TWLLA35",12.067,NA,NA
"SR_LN(R0)","JPLLA35_USLLA24",12.128,NA,NA
"SR_LN(R0)","base",12.12,NA,NA
"SR_regime_BLK1add_1993","TWLLA35_EPOSF",0.06,NA,NA
"SR_regime_BLK1add_1993","JPPLA35_JPLLA13",0.05,NA,NA
"SR_regime_BLK1add_1993","JPPLA35_TWLLA35",0.06,NA,NA
"SR_regime_BLK1add_1993","JPLLA35_USLLA24",0.021,NA,NA
"SR_regime_BLK1add_1993","base",0.043,NA,NA
