"type","Fleet","Fleet_Name","Yr","Seas","Nsamp_in","Nsamp_adj","effN"
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",1994,1,90.54,24.9184,25.1884
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",1995,1,1.04,0.286229,4.28813
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",1996,1,92.13,25.356,15.0127
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",1997,1,113.56,31.254,51.8285
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",1998,1,121.3,33.3842,103.304
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",1999,1,19.47,5.35853,16.4873
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2000,1,83.39,22.9506,222.23
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2001,1,151.26,41.6298,127.045
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2002,1,391.14,107.65,308.413
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2003,1,232.32,63.9391,161.891
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2004,1,246.15,67.7454,80.4535
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2005,1,342.26,94.1968,82.3365
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2006,1,283.38,77.9918,250.698
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2007,1,201.49,55.4541,263.975
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2008,1,291.31,80.1743,107.561
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2009,1,270.37,74.4112,501.245
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2010,1,232.98,64.1208,394.875
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2011,1,261.75,72.0388,447.854
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2012,1,298.33,82.1064,257.885
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2013,1,138.71,38.1758,202.038
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2014,1,164.52,45.2792,53.7834
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2015,1,253.56,69.7848,217.413
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2016,1,246.7,67.8968,201.038
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2017,1,199.39,54.8761,195.524
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2018,1,146.91,40.4326,91.8529
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2019,1,132.24,36.3951,70.2403
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2020,1,152.93,42.0894,175.32
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2021,1,184.29,50.7203,64.3275
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2022,1,191.86,52.8037,41.2748
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2023,1,196.68,54.1303,360.861
"TWLLA35_EPOSF",1,"F1_JPLL_A13_Q1_wt",2024,1,77.44,21.313,43.3906
"TWLLA35_EPOSF",2,"F2_JPLL_A13_Q2_wt",1996,2,9.74,2.14572,12.3199
"TWLLA35_EPOSF",2,"F2_JPLL_A13_Q2_wt",1997,2,22.66,4.992,54.0317
"TWLLA35_EPOSF",2,"F2_JPLL_A13_Q2_wt",2000,2,1.16,0.255548,7.85684
"TWLLA35_EPOSF",2,"F2_JPLL_A13_Q2_wt",2001,2,93.34,20.5628,62.9525
"TWLLA35_EPOSF",2,"F2_JPLL_A13_Q2_wt",2002,2,171.01,37.6735,27.5292
"TWLLA35_EPOSF",2,"F2_JPLL_A13_Q2_wt",2003,2,154.28,33.9879,53.0383
"TWLLA35_EPOSF",2,"F2_JPLL_A13_Q2_wt",2004,2,156.2,34.4109,24.2311
"TWLLA35_EPOSF",2,"F2_JPLL_A13_Q2_wt",2005,2,317.81,70.0135,28.6865
"TWLLA35_EPOSF",2,"F2_JPLL_A13_Q2_wt",2006,2,215.61,47.4989,88.4669
"TWLLA35_EPOSF",2,"F2_JPLL_A13_Q2_wt",2007,2,150.55,33.1662,248.83
"TWLLA35_EPOSF",2,"F2_JPLL_A13_Q2_wt",2008,2,182.61,40.229,51.6425
"TWLLA35_EPOSF",2,"F2_JPLL_A13_Q2_wt",2009,2,152.31,33.5539,91.18
"TWLLA35_EPOSF",2,"F2_JPLL_A13_Q2_wt",2010,2,109.97,24.2264,101.174
