"iter","likes","model","workstation"
1,1651.86,"model/day5base_scen4_F25fixed_jitter_50/","blue"
2,1649.8,"model/day5base_scen4_F25fixed_jitter_50/","blue"
3,1655.11,"model/day5base_scen4_F25fixed_jitter_50/","blue"
4,1649.14,"model/day5base_scen4_F25fixed_jitter_50/","blue"
5,1655.57,"model/day5base_scen4_F25fixed_jitter_50/","blue"
6,1652.38,"model/day5base_scen4_F25fixed_jitter_50/","blue"
7,1651.01,"model/day5base_scen4_F25fixed_jitter_50/","blue"
8,1648.89,"model/day5base_scen4_F25fixed_jitter_50/","blue"
9,1648.87,"model/day5base_scen4_F25fixed_jitter_50/","blue"
10,3476.32,"model/day5base_scen4_F25fixed_jitter_50/","blue"
11,1651.86,"model/day5base_scen4_F25fixed_jitter_50/","blue"
12,1649.23,"model/day5base_scen4_F25fixed_jitter_50/","blue"
13,1695.85,"model/day5base_scen4_F25fixed_jitter_50/","blue"
14,1668.75,"model/day5base_scen4_F25fixed_jitter_50/","blue"
15,1651.77,"model/day5base_scen4_F25fixed_jitter_50/","blue"
16,1651.86,"model/day5base_scen4_F25fixed_jitter_50/","blue"
17,1650.23,"model/day5base_scen4_F25fixed_jitter_50/","blue"
18,1651,"model/day5base_scen4_F25fixed_jitter_50/","blue"
19,1652.69,"model/day5base_scen4_F25fixed_jitter_50/","blue"
20,1650.84,"model/day5base_scen4_F25fixed_jitter_50/","blue"
21,1652.38,"model/day5base_scen4_F25fixed_jitter_50/","blue"
22,1649.43,"model/day5base_scen4_F25fixed_jitter_50/","blue"
23,1650.14,"model/day5base_scen4_F25fixed_jitter_50/","blue"
24,1652.09,"model/day5base_scen4_F25fixed_jitter_50/","blue"
25,1656.39,"model/day5base_scen4_F25fixed_jitter_50/","blue"
26,1651.86,"model/day5base_scen4_F25fixed_jitter_50/","blue"
27,1651.83,"model/day5base_scen4_F25fixed_jitter_50/","blue"
28,1651.28,"model/day5base_scen4_F25fixed_jitter_50/","blue"
29,1650.93,"model/day5base_scen4_F25fixed_jitter_50/","blue"
30,1649.32,"model/day5base_scen4_F25fixed_jitter_50/","blue"
31,1652.38,"model/day5base_scen4_F25fixed_jitter_50/","blue"
32,1649.78,"model/day5base_scen4_F25fixed_jitter_50/","blue"
33,1648.85,"model/day5base_scen4_F25fixed_jitter_50/","blue"
34,1693.89,"model/day5base_scen4_F25fixed_jitter_50/","blue"
35,1649.25,"model/day5base_scen4_F25fixed_jitter_50/","blue"
36,1652.38,"model/day5base_scen4_F25fixed_jitter_50/","blue"
37,1650.38,"model/day5base_scen4_F25fixed_jitter_50/","blue"
38,2225.01,"model/day5base_scen4_F25fixed_jitter_50/","blue"
39,1653.44,"model/day5base_scen4_F25fixed_jitter_50/","blue"
40,1648.56,"model/day5base_scen4_F25fixed_jitter_50/","blue"
41,1652.38,"model/day5base_scen4_F25fixed_jitter_50/","blue"
42,1650.98,"model/day5base_scen4_F25fixed_jitter_50/","blue"
43,1650.63,"model/day5base_scen4_F25fixed_jitter_50/","blue"
44,1649.82,"model/day5base_scen4_F25fixed_jitter_50/","blue"
45,1650.62,"model/day5base_scen4_F25fixed_jitter_50/","blue"
46,1652.38,"model/day5base_scen4_F25fixed_jitter_50/","blue"
47,1657.34,"model/day5base_scen4_F25fixed_jitter_50/","blue"
48,319853,"model/day5base_scen4_F25fixed_jitter_50/","blue"
49,1653.76,"model/day5base_scen4_F25fixed_jitter_50/","blue"
50,1650.67,"model/day5base_scen4_F25fixed_jitter_50/","blue"
